Source,scientificName,decimalLongitude,decimalLatitude
SEINET,Quercus arkansana,84.46666675,31.25000004
SEINET,Quercus arkansana,84.46666675,31.25000004
GBIF,Quercus arkansana Sarg.,-81.790555,32.655
SEINET,Quercus arkansana,-84.4811111,31.2605556
GBIF,Quercus arkansana Sarg.,-84.658768,32.31952
SEINET,Quercus arkansana,-84.67155,32.346231
SEINET,Quercus arkansana,-84.67155,32.346231
GBIF,Quercus arkansana,-84.67155,32.346231
GBIF,Quercus arkansana,-84.67155,32.346231
GBIF,Quercus arkansana Sarg.,-84.677037,32.32601
GBIF,Quercus arkansana Sarg.,-84.677543,32.32639
GBIF,Quercus arkansana Sarg.,-84.768703,32.39557
SEINET,Quercus arkansana,-84.772703,32.305427
GBIF,Quercus arkansana,-84.772703,32.305427
SEINET,Quercus arkansana,-84.88909,31.672944
GBIF,Quercus arkansana,-84.88909,31.672944
SEINET,Quercus arkansana,-84.92548,31.471562
SEINET,Quercus arkansana,-84.92548,31.471562
SEINET,Quercus arkansana,-84.92548,31.471562
SEINET,Quercus arkansana,-84.92548,31.471562
GBIF,Quercus arkansana,-84.92548,31.471562
GBIF,Quercus arkansana,-84.92548,31.471562
GBIF,Quercus arkansana,-84.92548,31.471562
GBIF,Quercus arkansana,-84.92548,31.471562
SEINET,Quercus arkansana,-84.943013,31.771183
SEINET,Quercus arkansana,-84.943013,31.771183
GBIF,Quercus arkansana,-84.943013,31.771183
GBIF,Quercus arkansana,-84.943013,31.771183
GBIF,Quercus arkansana Sarg.,-84.948841,31.46826
SEINET,Quercus arkansana,-84.9852,30.279317
GBIF,Quercus arkansana,-84.9852,30.279317
GBIF,Quercus arkansana Sarg.,-85.086455,31.19063
GBIF,Quercus arkansana,-85.227934,32.24464
SEINET,Quercus arkansana,-85.30361,31.00444
GBIF,Quercus arkansana Sarg.,-85.30361,31.00444
GBIF,Quercus arkansana,-85.819735,31.754506
SEINET,Quercus arkansana,-85.8854,31.786
SEINET,Quercus arkansana,-85.8854,31.786
GBIF,Quercus arkansana Sarg.,-85.892499,31.78984
GBIF,Quercus arkansana Sarg.,-85.892872,31.78948
GBIF,Quercus arkansana Sarg.,-85.893035,31.78998
GBIF,Quercus arkansana Sarg.,-85.893035,31.78998
GBIF,Quercus arkansana Sarg.,-85.893059,31.78972
SEINET,Quercus arkansana hemisphaerica,-85.893141,31.790862
GBIF,Quercus arkansana Sarg.,-85.893178,31.78992
GBIF,Quercus arkansana Sarg.,-85.896136,31.78962
SEINET,Quercus arkansana,-85.901501,31.776815
SEINET,Quercus arkansana,-85.90334,31.78611
SEINET,Quercus arkansana,-85.90334,31.78611
SEINET,Quercus arkansana,-85.90334,31.78611
GBIF,Quercus arkansana Sarg.,-85.90334,31.78611
GBIF,Quercus arkansana Sarg.,-85.90334,31.78611
GBIF,Quercus arkansana Sarg.,-85.90334,31.78611
GBIF,Quercus arkansana,-85.970855,31.604953
GBIF,Quercus arkansana,-85.995294,31.735905
GBIF,Quercus arkansana Sarg.,-86.116667,30.716667
SEINET,Quercus arkansana,-86.1715,30.6185
SEINET,Quercus arkansana,-86.1715,30.6185
