coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
959065,"Doug Goldman",,2002-07-18,,"Quercus arkansana",0,Sarg.,,,,,,,urn:uuid:5a45e3cd-7e94-42b2-990b-b756e6ed2b21,"2014-07-25 16:26:02"
9316797,"Thompson, S.",,09/03/1985,,Quercus,0,L.,,,,,,,urn:uuid:cac07b88-a0f9-4358-9d49-0a1dff7ec22d,"2020-05-08 09:40:41"
9307893,"Anderson, Loran",,07/23/1992,,"Quercus arkansana",0,Sarg.,,,,,,,urn:uuid:d48677b9-d043-4917-9485-23ccd99006f2,"2020-05-08 09:40:41"
8567568,"Clark, Ross C.",,1966-00-00,,"Quercus arkansana",0,Sarg.,,,,,,,urn:uuid:40440d80-5f02-4f7f-aa41-a82a6d2ea3c7,"2017-06-17 18:00:20"
8567568,"Duncan, W. H.",,1976-00-00,,"Quercus caput-rivuli",0,Ashe,,,,,,,urn:uuid:3a236032-03d2-464f-a33d-c0c3200135ed,"2017-06-17 18:00:57"
8567573,"Redfearn, Paul L., Jr.",,1977-00-00,,"Quercus arkansana",0,Sarg.,,,,,,,urn:uuid:cbdc70f2-c524-49c9-9368-c8737a6e6189,"2017-06-17 18:14:31"
12852382,"Ashe, W. W.",,1927-00-00,,"Quercus caput-rivuli",0,Ashe,,,,,,,urn:uuid:56bb3b0d-1e4f-4b2e-a914-21156fec9d06,"2017-07-09 10:39:39"
12853364,"Ashe, W. W.",,1923-00-00,,"Quercus caput-rivuli",0,Ashe,,,,,,,urn:uuid:e6d3a019-2f01-410f-b4df-a3b106f2e833,"2017-07-12 09:58:22"
20531571,"Robert A. Stewart",,"Sept 2018",,"Quercus arkansana",1,Sarg.,,,,,,,urn:uuid:60e6e5d7-8c5f-4992-8715-14ed42fdf986,"2018-09-25 12:41:58"
20531571,unknown,,unknown,,Quercus,0,L.,,,,,,,urn:uuid:cd46fb4b-f652-45a2-88d3-eda94bdcdd44,"2018-09-25 12:41:58"
13523383,Unknown,,Unknown,,"Quercus falcata",0,,,,,,,,urn:uuid:cf3245b7-3eeb-453b-983f-3e6df91e4fd5,"2017-03-21 16:31:24"
13523373,Unknown,,Unknown,,"Quercus falcata",0,,,,,,,,urn:uuid:bbc654c6-1582-4e95-993a-66c4288ca7f9,"2017-03-21 16:31:24"
13523370,Unknown,,Unknown,,"Quercus falcata",0,,,,,,,,urn:uuid:53a9024e-a8a9-4c1f-b12b-6fb17ff4a871,"2017-03-21 16:31:24"
22999927,"not specified",,2009,,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:db0dc3e4-9ba0-48cd-b053-6a55a23ac42f,"2020-02-13 13:52:16"
22999927,"not specified",,"not specified",,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:c83ea728-aa2f-432e-9a82-415813468b70,"2019-10-24 23:18:20"
23046942,"D. M. Hunt (GA)",,1986-11-24,,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:31d6708b-25b3-4ba8-a056-16ff593734d8,"2020-02-13 13:52:16"
23046942,"not specified",,2009,,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:412e92aa-249d-48ad-8d97-a0b47f07869f,"2020-02-13 13:52:16"
23046942,"D. M. Hunt (GA)",,"not specified",,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:c04cd164-fad0-4d46-8db6-425b0af2b90a,"2019-10-24 23:18:20"
23046942,"not specified",,"not specified",,"Quercus arkansana Sargent",0,Sargent,,,,,,,urn:uuid:c961f9ae-8ee6-4805-9472-5578422b2ba0,"2019-10-24 23:18:20"
