coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4286238,https://storage.idigbio.org/mor/aquatic/00057/0057498MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00057/0057498MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00057/0057498MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00057/0057498MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:15f36eba-a5bb-4df2-a080-ceccbbe1c317,"2016-09-18 03:00:44",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4286238,StillImage,Photograph,en
4287718,https://storage.idigbio.org/mor/aquatic/00059/0059153MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059153MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059153MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059153MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2bd8ab2f-6ac9-4253-afc6-225957b98c66,"2016-09-15 02:51:36",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287718,StillImage,Photograph,en
4287719,https://storage.idigbio.org/mor/aquatic/00059/0059154MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059154MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059154MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059154MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f00bd0af-ac91-466f-97ae-e5b7753a7e0c,"2016-09-19 02:45:04",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287719,StillImage,Photograph,en
4287722,https://storage.idigbio.org/mor/aquatic/00059/0059155MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059155MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059155MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059155MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:232304c9-376b-449e-9fb4-056370f1c02a,"2016-09-17 02:47:31",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287722,StillImage,Photograph,en
4287724,https://storage.idigbio.org/mor/aquatic/00059/0059156MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059156MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059156MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059156MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7324d060-439d-4481-a5a7-732a3ca282a5,"2016-09-18 03:05:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287724,StillImage,Photograph,en
4287726,https://storage.idigbio.org/mor/aquatic/00059/0059157MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059157MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059157MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059157MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:105572cf-ef13-4087-9cd6-2f31614642d2,"2016-09-16 03:24:15",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287726,StillImage,Photograph,en
4287727,https://storage.idigbio.org/mor/aquatic/00059/0059158MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059158MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059158MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059158MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6eea0ca4-eabc-493a-9e29-987a12c29db1,"2016-09-17 03:06:47",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287727,StillImage,Photograph,en
4287730,https://storage.idigbio.org/mor/aquatic/00059/0059159MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059159MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059159MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059159MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9407bf55-e70f-4516-a612-5503c73f44ad,"2016-09-19 02:23:20",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287730,StillImage,Photograph,en
4287734,https://storage.idigbio.org/mor/aquatic/00059/0059160MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059160MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059160MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059160MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e9681cf1-4799-4eaa-a537-4f0d5e398e9c,"2016-09-17 02:28:40",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287734,StillImage,Photograph,en
4287736,https://storage.idigbio.org/mor/aquatic/00059/0059161MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059161MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059161MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059161MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3417d0ce-618e-4e70-a415-b93030ddd1d5,"2016-09-18 02:10:17",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287736,StillImage,Photograph,en
4287750,https://storage.idigbio.org/mor/aquatic/00059/0059147MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059147MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059147MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059147MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a80403d4-541d-4ab3-a1b4-df8c124277bf,"2016-09-15 03:46:24",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287750,StillImage,Photograph,en
4287751,https://storage.idigbio.org/mor/aquatic/00059/0059150MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059150MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059150MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059150MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0bdec9e1-b727-4f47-86df-41d60d216b3e,"2016-09-20 03:18:19",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287751,StillImage,Photograph,en
4287752,https://storage.idigbio.org/mor/aquatic/00059/0059151MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059151MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059151MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059151MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:85aee5bb-4152-4fc2-b604-f1d0e76a42b6,"2016-09-16 02:33:51",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287752,StillImage,Photograph,en
4287753,https://storage.idigbio.org/mor/aquatic/00059/0059162MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059162MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059162MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059162MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2d2c7c3f-bd76-4c01-b07b-f9aee69b877e,"2016-09-18 02:03:55",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287753,StillImage,Photograph,en
4287754,https://storage.idigbio.org/mor/aquatic/00059/0059163MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059163MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059163MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059163MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:31e82d62-e212-4360-a6d9-b2f1d82aa5f8,"2016-09-19 02:00:10",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287754,StillImage,Photograph,en
