id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
959065,ARIZ,,,PreservedSpecimen,urn:uuid:2b6813c5-3de3-4e65-b06b-7046e923ede4,390170,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,2002-07-18,,,,,,"Doug Goldman",,2335,2002-07-18,2002,7,18,199,,"july,18,2002","tree 20ft tall, trunk diameter 4 in, locally common.","Growing in acut-over pine savanna in dry sandy loam (Troup association, hilly; thermic Grossarenic Paleudults).",,,,,,,,,"ecologicallyOccursWith: Amorpha herbacea|ecologicallyOccursWith: Astragalus|ecologicallyOccursWith: Carya pallida|ecologicallyOccursWith: Cnidoscolus stimulosus|ecologicallyOccursWith: Crataegus flava|ecologicallyOccursWith: Diospyros virginiana|ecologicallyOccursWith: Evolvulus|ecologicallyOccursWith: Ilex vomitoria|ecologicallyOccursWith: Lechea|ecologicallyOccursWith: Lespedeza|ecologicallyOccursWith: Nyssa sylvatica|ecologicallyOccursWith: Opuntia humifusa|ecologicallyOccursWith: Panicum|ecologicallyOccursWith: Pinus palustris|ecologicallyOccursWith: Pinus taeda|ecologicallyOccursWith: Prunus serotina|ecologicallyOccursWith: Pteridium aquilinum|ecologicallyOccursWith: Quercus incana|ecologicallyOccursWith: Quercus laevis|ecologicallyOccursWith: Quercus margaretta|ecologicallyOccursWith: Quercus nigra|ecologicallyOccursWith: Quercus veluntina|ecologicallyOccursWith: Rhus copallina|ecologicallyOccursWith: Rubus|ecologicallyOccursWith: Sassafras albidum|ecologicallyOccursWith: Vaccinium arboreum|ecologicallyOccursWith: Vitis rotundifolia",,,,,,,,"United States",Alabama,"Autauga County",,"To the N. side of a pipeline right-of -way, about .25 mi SW of US Rt. 82, and arounf 3 mi. WSW of Billingsley",,,,32.646667,-86.771667,,,,,,,,,140,,,,,"460 ft.",,,,"2014-01-27 10:38:34",211771,2,urn:uuid:bdd8447a-1094-4c96-b7c5-a1b8e1c840e6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=959065
4159720,TTRS,,,PreservedSpecimen,urn:uuid:899e00f1-fba8-4e88-beac-91a159935f68,TTRS_000006611,6637,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1984,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceRemarks, georeferenceProtocol",,,,,,,,,,,,,"United States",Florida,Walton,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-07-22 13:50:29",TTRS_000006611,174,urn:uuid:c116aa0d-2c22-4e70-ad4f-94293f850ee5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159720
4159721,TTRS,,,PreservedSpecimen,urn:uuid:fc68347d-a707-48aa-96fa-051fec0704a9,TTRS_000006612,6043,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1982,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceRemarks, georeferenceProtocol",,,,,,,,,,,,,"United States",Florida,Okaloosa,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-07-22 13:50:29",TTRS_000006612,174,urn:uuid:55a252ed-f7ff-4883-a17a-6bdc743bc0d5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159721
4159722,TTRS,,,PreservedSpecimen,urn:uuid:dedcc58d-368c-42cc-8220-d4b2f102290b,TTRS_000006613,6044,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1982,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceRemarks, georeferenceProtocol",,,,,,,,,,,,,"United States",Florida,Okaloosa,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-07-22 13:50:29",TTRS_000006613,174,urn:uuid:1788562b-12dc-4113-99ad-8aa7e7e62043,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159722
4159723,TTRS,,,PreservedSpecimen,urn:uuid:a6a8a75a-f9d7-427f-9e14-0915d3296a2d,TTRS_000006614,11381,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1989,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceRemarks, georeferenceProtocol",,,,,,,,,,,,,"United States",Florida,Walton,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-07-22 13:50:29",TTRS_000006614,174,urn:uuid:8054fdc3-0f99-4aa4-ac61-7a8bef6a8c47,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159723
4286238,MOR,BRAHMS_58254,,"Preserved specimen",4166cab5-8202-4127-815f-d17b144aa64f,0057498MOR,32092,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,"World - VU D2 (IUCN 2006 Red List) State - Arkansas (threatened)",,Topotype,"Wilhelm, G","Hess, WJ; Ware, GH",4334,1977-10-22,1977,10,22,295,,10/22/1977,"Specimen recorded for The Flora of the Pensacola Region. 26 June, 1978. Gerould S. Wilhelm.",,,,,,,,,,"Mitchella repens L.; Illicium floridanum; Oxydendrum arboreum (L.) DC.; Cornus florida L.; Quercus falcata Michx.; Quercus hemisphaerica W.Bartram ex Willd.; Quercus stellata Wangenh.; Pteridium aquilinum var. latiusculum (Desv.) Underw. ex A.Heller; Magnolia grandiflora; Eriogonum tomentosum; Ilex vomitoria Aiton; Ilex opaca Aiton; Pinus echinata Mill.; Osmanthus americanus L. A.Gray; Callicarpa americana L.; Chionanthus virginicus L.; Eupatorium aromaticum; Asimina triloba (L.) Dunal; Cliftonia monophylla (Lam.) Sarg.; Rhynchospora Vahl","Flower: N Fruit: N Vegetation: Y Bud: Y",,0,,,,,"United States",Florida,Okaloosa,,"Near the north edge of Niceville, ca. 1/2 mile N. of Fla.190, on the Campus of Okaloosa-Walton Jr. College, along north facing slope of S. fork of Fox Head Branch, near theter of the //.",,,,30.542425,-86.47122,WGS84,969,"TRS: T1N R22W S32W 1/2","Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",66053,178,urn:uuid:4166cab5-8202-4127-815f-d17b144aa64f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4286238
4287718,MOR,BRAHMS_59898,,"Preserved specimen",65373931-9eb0-44c6-95f3-162120c25691,0059153MOR,59896,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,"World - VU D2 (IUCN 2006 Red List) State - Arkansas (threatened)",,,"Clark, RC",,6756,1966-08-05,1966,8,5,217,,8/5/1966,,,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Sumter,,"Low roadside of co. rd. 23, ca. 1 mile s of Belmont.",,,,32.550349,-87.951228,WGS84,192,,"Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",67538,178,urn:uuid:65373931-9eb0-44c6-95f3-162120c25691,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287718
4287719,MOR,BRAHMS_59899,,"Preserved specimen",5c97e553-f52f-40ca-9d83-227930b1cfeb,0059154MOR,54648,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,"World - VU D2 (IUCN 2006 Red List) State - Arkansas (threatened)",,,"Clark, RC",,6717A,1966-08-05,1966,8,5,217,,8/5/1966,,,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Sumter,,"Roadside of dirt road ca. 0.6 mile north of Doughill Church.",,,,32.52732,-88.101025,WGS84,39,,"Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",67539,178,urn:uuid:5c97e553-f52f-40ca-9d83-227930b1cfeb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287719
4287722,MOR,BRAHMS_59903,,"Preserved specimen",815cec97-3bf2-4645-a6ab-5d512da98140,0059155MOR,54620,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,"World - VU D2 (IUCN 2006 Red List) State - Arkansas (threatened)",,,"Clark, RC",,"17,590A",1967-08-07,1967,8,7,219,,8/7/1967,,,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Chilton,,"Roadside of Forest Service Rd. 426, vicinity of Perry Mountain Fire Tower.",,,,32.759017,-86.955803,WGS84,160,,"Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",67542,178,urn:uuid:815cec97-3bf2-4645-a6ab-5d512da98140,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287722
4287724,MOR,BRAHMS_59905,,"Preserved specimen",10858d06-5bbd-4c30-8a0c-fd3a58f2c0e8,0059156MOR,78665,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus arkansana",97527,Sarg.,Quercus,,arkansana,,,Species,,,,,"World - VU D2 (IUCN 2006 Red List) State - Arkansas (threatened)",,,"Clark, RC",,"15,832",1967-07-06,1967,7,6,187,,7/6/1967,,,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Pike,,"Margin of the 'Pocosin', 5.7 miles east-southeast of Troy.",,,,31.776815,-85.901501,WGS84,1145,,"Louise & Lee",,GeoLocate,,"based on collectors description/believe on Pocosin Rd not sure exact loc.",,,,,,,,,admin,"2015-06-03 00:00:00",67544,178,urn:uuid:10858d06-5bbd-4c30-8a0c-fd3a58f2c0e8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287724
