Database,Species Name ,decimalLongitude,decimalLatitude
SEINET,Quercus austrina,-95.781263,29.027942
SEINET,Quercus austrina,-90.245367,32.179316
SEINET,Quercus austrina,-90.245367,32.179316
SEINET,Quercus austrina,-90.245367,32.179316
SEINET,Quercus austrina,-90.245367,32.179316
SEINET,Quercus austrina,-89.993672,31.886517
SEINET,Quercus austrina,-89.840369,31.239002
SEINET,Quercus austrina,-89.406944,32.339055
SEINET,Quercus austrina,-89.247543,30.315753
SEINET,Quercus austrina,-89.10951,31.69776
SEINET,Quercus austrina,-89.044796,32.27235
SEINET,Quercus austrina,-89.025833,31.701389
SEINET,Quercus austrina,-88.8775,32.29194444
SEINET,Quercus austrina,-88.8775,32.29194
SEINET,Quercus austrina,-88.87695,32.55194
SEINET,Quercus austrina,-88.87694444,32.55194444
SEINET,Quercus austrina,-88.8218,32.2096
SEINET,Quercus austrina,-88.8218,32.2096
SEINET,Quercus austrina,-88.777687,30.391726
SEINET,Quercus austrina,-88.703656,32.36431
SEINET,Quercus austrina,-88.703656,32.36431
SEINET,Quercus austrina,-88.682864,31.683049
SEINET,Quercus austrina,-88.682864,31.683049
SEINET,Quercus austrina,-88.66937,31.696449
SEINET,Quercus austrina,-88.562295,34.045703
SEINET,Quercus austrina,-88.31695,33.308087
SEINET,Quercus austrina,-88.305688,32.595379
SEINET,Quercus austrina,-88.214412,33.034616
SEINET,Quercus austrina,-88.214412,33.034616
SEINET,Quercus austrina,-88.201111,32.911944
SEINET,Quercus austrina,-88.145438,33.040498
SEINET,Quercus austrina,-88.120812,32.70204
SEINET,Quercus austrina,-88.117309,32.694436
SEINET,Quercus austrina,-88.116506,32.694514
SEINET,Quercus austrina,-88.111514,32.694903
SEINET,Quercus austrina,-88.110399,32.694596
SEINET,Quercus austrina,-88.107255,33.039964
SEINET,Quercus austrina,-88.106107,32.695427
SEINET,Quercus austrina,-88.104133,32.694524
SEINET,Quercus austrina,-88.080527,32.714138
SEINET,Quercus austrina,-88.066246,32.488396
SEINET,Quercus austrina,-88.066246,32.488396
SEINET,Quercus austrina,-88.063889,32.667778
SEINET,Quercus austrina,-87.973566,31.382609
SEINET,Quercus austrina,-87.946898,31.514484
SEINET,Quercus austrina,-87.93672,34.59103
SEINET,Quercus austrina,-87.90194,30.841019
SEINET,Quercus austrina,-87.876944,32.551944
SEINET,Quercus austrina,-87.871787,31.444551
SEINET,Quercus austrina,-87.87069,32.51508
SEINET,Quercus austrina,-87.793187,31.619541
SEINET,Quercus austrina,-87.75778,31.371377
SEINET,Quercus austrina,-87.719854,34.580877
SEINET,Quercus austrina,-87.71612,32.496802
SEINET,Quercus austrina,-87.512979,32.244225
SEINET,Quercus austrina,-87.274011,32.775055
SEINET,Quercus austrina,-87.238898,32.75814
SEINET,Quercus austrina,-87.2153,30.5525
SEINET,Quercus austrina,-87.147618,33.00092
SEINET,Quercus austrina,-87.032319,32.321225
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.021101,32.407359
SEINET,Quercus austrina,-87.02028,33.02417
SEINET,Quercus austrina,-87.013876,32.206252
SEINET,Quercus austrina,-86.903205,31.077407
SEINET,Quercus austrina,-86.836626,32.470057
SEINET,Quercus austrina,-86.836626,32.470057
SEINET,Quercus austrina,-86.817528,31.551056
SEINET,Quercus austrina,-86.031111,31.885
SEINET,Quercus austrina,-85.308822,31.036849
SEINET,Quercus austrina,-85.15028,31.55333
SEINET,Quercus austrina,-85.0668731,31.4743385
