coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
9319550,"Nelson, John B.",,2011-08-23,,"Quercus austrina",1,Small,,,,,,,urn:uuid:a79ae940-05e0-4cb8-8924-fec0583818a6,"2021-06-12 11:24:01"
9319550,"Pittman, Bert",,s.d.,,Quercus,0,L.,,,,,,,urn:uuid:9930aed2-3f55-4127-ad72-3a2b2684f2da,"2020-05-08 09:40:41"
12853481,"Lance, Ron W.",,1989-08-00,,"Quercus durandii var. austrina",0,,,,,,,,urn:uuid:2d9592de-6d07-4e08-a892-18c0720ba02f,"2018-11-16 08:44:14"
12853479,"Lance, Ron W.",,1987-06-00,,"Quercus durandii var. austrina",0,,,,,,,,urn:uuid:6f7e0534-acd1-4ca9-af72-78ecf8c0d10c,"2018-11-16 13:44:33"
13335886,"Ashe, William Willard",,1909-05-29,,"Quercus austrina",0,Small,,,,,,,urn:uuid:30997fc6-b234-45a1-8914-0a36b0608277,"2018-11-16 08:22:30"
13335886,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:973fdf4f-6b97-4234-a181-eea728541a59,"2018-11-16 08:22:30"
13335886,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,,urn:uuid:820a8aa6-0086-4d64-bd14-9a7482b93c17,"2018-11-16 08:22:47"
13335966,"Harbison, Thomas Grant",,1915-00-00,,"Quercus austrina",0,Small,,,,,,,urn:uuid:03f63b4f-6a72-44cb-80e9-9a843c2e03ec,"2018-11-16 12:18:40"
13335966,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:75ef8c4d-99a4-4133-9244-c75b138d314a,"2018-11-16 12:18:40"
13335966,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:053ac503-a7a4-4cfc-a10c-0feb82ece274,"2018-11-16 12:19:13"
13335964,harb',,1915-00-00,,"Quercus austrina",0,Small,,,,,,,urn:uuid:bc982a8f-a0bb-4e1c-8975-c64e475cb204,"2018-11-16 12:17:10"
13335964,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:03f6e331-ef7f-4c12-8ae2-22c3f5098595,"2018-11-16 12:17:10"
13335964,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:0cf33779-468e-4a01-ab8d-02d009841064,"2018-11-16 12:17:27"
12853349,"Peet, Robert K.",,1991-11-02,,"Quercus austrina",0,Small,,,,,,,urn:uuid:8ce4fdb4-5f51-48a6-88b7-a684206a19fb,"2017-07-12 10:05:06"
12853349,"Van Eerden, Brian",,1994-00-00,,"Quercus austrina",0,Small,,,,,"N.C. NATURAL HERITAGE PROGRAM",,urn:uuid:0edc4f03-4931-4b7d-a1d4-41c2d0bcc299,"2018-11-15 14:13:26"
12853074,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",0,Small,,,,,,,urn:uuid:24717f20-f018-4adb-8a85-324bc76d025f,"2017-07-12 15:12:56"
12853074,"Crutchfield, Philip J.",,s.d.,,"Quercus durandii",0,Buckley,,,,,,,urn:uuid:31a84d09-3676-433c-8d6a-eece82f3acca,"2017-07-12 15:12:14"
14369567,"Harbison, Thomas Grant",,1919-06-16,,Quercus,0,L.,,,,,,,urn:uuid:89da5152-cd37-4d12-9c9a-8c7a0e09ace2,"2018-11-16 14:46:26"
14369567,"Muller, Cornelius Herman",,1957,,"Quercus austrina",0,Small,,,,,1957-00-00,"[verbatim annotation:] C.H.M. Q. austrina Small '57",urn:uuid:24ea3817-d276-44c2-b3f2-147eb80686c0,"2018-11-16 14:47:14"
12852999,"Jones, Samuel B.",,1968-06-10,?,"Quercus austrina",0,Small,,,,,,,urn:uuid:a110384a-42ae-4334-a2a4-8c3a5773e537,"2017-07-12 10:00:56"
12852999,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:4da51687-fd16-4498-b758-7b3f314a3d70,"2017-07-12 10:01:19"
13335959,"Harbison, Thomas Grant",,1915-05-25,,"Quercus austrina",0,Small,,,,,,,urn:uuid:bc79f496-b9fd-42d8-af8b-32f6e666cd73,"2018-11-16 12:09:29"
13335959,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:3c7263af-37b2-48a7-872d-11c74e33915e,"2018-11-16 12:09:29"
13335959,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:c602adf6-c72e-4b85-a8b6-9b7360ba914c,"2018-11-16 12:09:48"
13335921,"Harbison, Thomas Grant",,1914-11-11,,"Quercus austrina",0,Small,,,,,,,urn:uuid:13a311e6-3507-441f-a09a-ffeca79c4b4c,"2018-11-16 13:28:26"
13335921,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:01949f8f-94a0-463e-9101-00a031efc7fa,"2018-11-16 13:28:26"
13335921,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:7d66838b-a550-4cb1-99b0-d093949d98f8,"2018-11-16 13:28:49"
13335920,"Harbison, Thomas Grant",,1914-11-11,?,"Quercus austrina",0,Small,,,,,,,urn:uuid:0a10d9f4-f082-43c3-8abd-10a25c6aa047,"2018-11-16 13:26:58"
13335920,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] Q. austrina Small C.H.M. '57",urn:uuid:487c1df4-5978-4dfb-8c93-2d9fb43f504f,"2018-11-16 13:26:58"
13335920,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:f3dd1086-29dc-4077-826f-b4195401fe3d,"2018-11-16 13:27:19"
13335917,"Ashe, William Willard",,1923-10-29,,"Quercus austrina",0,Small,,,,,,,urn:uuid:3b2860a3-8c99-49ab-9fb2-25e0fc573226,"2018-11-16 12:40:02"
13335917,"Muller, Cornelius Herman",,1957-00-00,,"Quercus austrina",0,Small,,,,,,"[verbatim annotation:] C.H.M. ! '57",urn:uuid:0a114b12-54dd-4869-8b3e-dd68f23706f9,"2018-11-16 12:40:02"
13335917,"Duncan, Wilbur H.",,1976-00-00,,"Quercus austrina",1,Small,,,,,,"[verbatim annotation = ] !",urn:uuid:0a574e81-562f-41ac-8f9d-1ed5ec96cc0d,"2018-11-16 12:40:25"
