coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4159724,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006615.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006615.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534944_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534944_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8ac99dfb-c60a-44a1-91f0-7726462857e8,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159724,StillImage,Photograph,en
4159725,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006616.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006616.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534945_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534945_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:841670fb-beac-45a8-9358-742198aed5bc,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159725,StillImage,Photograph,en
4159726,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006617.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006617.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534946_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534946_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:745da973-6118-4275-a418-8e4a55adb00d,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159726,StillImage,Photograph,en
4159727,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006618.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006618.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534947_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534947_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4d23c4fd-e1d5-4f78-9a03-152b86d35d2c,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159727,StillImage,Photograph,en
4159728,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006619.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006619.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534948_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534948_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7b641250-ba7e-46c3-951a-017b2cb37232,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159728,StillImage,Photograph,en
4159729,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006620.jpg,http://herbarium.bio.fsu.edu/images2/ttrs/jpegs/TTRS_000006620.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534949_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201403/imgid-534949_web.jpg,,"Tall Timbers Research Station (TTRS)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:87b58aeb-3580-4749-9cc4-ea09346267d6,"2014-03-07 14:22:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159729,StillImage,Photograph,en
4287850,https://storage.idigbio.org/mor/aquatic/00059/0059314MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059314MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059314MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059314MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d03f6154-da00-4ba6-9578-1ec1bc54eea5,"2016-09-15 03:37:47",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287850,StillImage,Photograph,en
4287851,https://storage.idigbio.org/mor/aquatic/00059/0059313MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059313MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059313MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059313MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:81b5f06c-32f9-4bea-bf0b-ef16fc64fe3e,"2016-09-19 02:16:38",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287851,StillImage,Photograph,en
4287852,https://storage.idigbio.org/mor/aquatic/00059/0059311MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059311MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059311MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059311MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ecadbf5d-f736-4742-bd1d-169a9aee4655,"2016-09-18 02:28:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287852,StillImage,Photograph,en
4287853,https://storage.idigbio.org/mor/aquatic/00059/0059312MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059312MOR_lg.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059312MOR_tn.jpg,https://storage.idigbio.org/mor/aquatic/00059/0059312MOR.jpg,,"Morton Arboretum (MOR)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b596b7d2-49a3-45a3-be21-72892f8bf8aa,"2016-09-17 03:33:48",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287853,StillImage,Photograph,en
