id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3843842,NCZP,,,PreservedSpecimen,ecc3b120-4da7-4c59-9a59-7897c84056c9,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Nell Allen",,,,2009,,,,,,"also Moni Bates, Boon Chesson. Capel tract on Pee Dee & Uwharrie R.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",,,,,,Leaf,,,,,,,"United States","North Carolina",Montgomery,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-07-21 12:46:49",3119,171,urn:uuid:ecc3b120-4da7-4c59-9a59-7897c84056c9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3843842
4159724,TTRS,,,PreservedSpecimen,urn:uuid:967cd5f6-751c-4990-ac5d-7d3a0ecf4e38,TTRS_000006615,5944,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Godfrey, Robert K.",,79602,1982-04-16,1982,4,16,106,,4/16/1982,,,,,,,,,,,,,,,,,,,"United States",Florida,Liberty,,"Medium-sized tree. Wooded lower slope of bluff along the Apalachicola River, a little way down river from Alum Bluff, N of Bristol",,,,30.24113757,-84.88308346,WGS84,,,,"County centroid",,,844.364,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006615,174,urn:uuid:51f87156-2bb3-4461-8076-3d54724c0173,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159724
4159725,TTRS,,,PreservedSpecimen,urn:uuid:e79b7b4a-d8b8-4ba4-9ffa-3c3bf94ce5b3,TTRS_000006616,6151,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Gholson Jr., A.",,10188,1982-11-16,1982,11,16,320,,11/16/1982,,,,,,,,,,,,,,,,,,,"United States",Georgia,Decatur,,"Faceville landing on Lake Seminole, Decatur co., Ga. Rather high bank along shoreline of Lake seminole (mesic woods). Lower surface of leaves glabrous and greenish; leaves with relatively shallow primary lobes; terminal primary lobe not re-lobed; medium to large tree.",,,,30.87862008,-84.57904505,WGS84,,,,"County centroid",,,622.949,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006616,174,urn:uuid:28ee9fa2-b982-48ee-b4ca-76c3d9863fbd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159725
4159726,TTRS,,,PreservedSpecimen,urn:uuid:cce85ce0-053d-421d-9290-a810a7e8db45,TTRS_000006617,6179,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Godfrey, Robert K.",,80233,1983-12-19,1983,12,19,353,,12/19/1983,,,,,,,,,,,,,,,,,,,"United States",Florida,Liberty,,"Numerous trees on upper slopes of ravine and on flat area above; trees relatively small, each with narrow crown of laterally spreading limbs, the crown scrubby in appearance. Kelly Branch, generally in Alum Bluff area, upriver from Bristol",,,,30.24113757,-84.88308346,WGS84,,,,"County centroid",,,844.364,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006617,174,urn:uuid:e072702e-d435-4725-a10e-d378fd2c2557,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159726
4159727,TTRS,,,PreservedSpecimen,urn:uuid:054a0083-a392-46ab-89b9-646b2d643208,TTRS_000006618,6441,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Godfrey, Robert K.",,81038,1983-11-03,1983,11,3,307,,11/3/1983,,,,,,,,,,,,,,,,,,,"United States",Florida,Wakulla,,"Specimen from tre ca 1 m dbh and ca 30 m tall (one of several trees of the species near each other), on grounds of Wakulla Springs, Presumably left after partial clearing of hammock",,,,30.17056524,-84.40394371,WGS84,,,,"County centroid",,,616.931,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006618,174,urn:uuid:674f74dd-1978-4977-8395-356067facf1a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159727
4159728,TTRS,,,PreservedSpecimen,urn:uuid:7a9b9f36-e08d-487b-bb30-2d4cd060bb39,TTRS_000006619,6687,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Godfrey, Robert K.",,81761,1985-04-02,1985,4,2,92,,4/2/1985,,,,,,,,,,,,,,,,,,,"United States",Florida,Wakulla,,"Tree ca 15 m tall, crown narrow. On grounds at Wakulla Springs, residual from hammock",,,,30.17056524,-84.40394371,WGS84,,,,"County centroid",,,616.931,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006619,174,urn:uuid:085f8155-6d13-46b6-aac9-9c69407ddee1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159728
4159729,TTRS,,,PreservedSpecimen,urn:uuid:9b621f70-54f1-481c-a86c-bb85443e8585,TTRS_000006620,11382,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,,,,,,,,"Godfrey, Robert K.",,75919,1977-07-07,1977,7,7,188,,7/7/1977,,,,,,,,,,,,,,,,,,,"United States",Florida,Columbia,,"Large tree in mixed deciduous forest; limestone near surface of substrate; along the Ichetucknee River, S of U.S. 27.",,,,30.22361648,-82.62171388,WGS84,,,,"County centroid",,,801.092,,,,,,,,,,"2015-01-06 12:31:47",TTRS_000006620,174,urn:uuid:0d00f376-bdfa-4959-ae90-62d87324a08e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159729
4287850,MOR,BRAHMS_60045,,"Preserved specimen",c9e7f73c-fc72-4c2f-816d-c0a6bf717df4,0059314MOR,50609,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,"Brown, B",,,,,,,"Clark, RC","Landers, K",8273,1966-08-31,1966,8,31,243,,8/31/1966,,Roadside.,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Colbert,,"Ligon Springs Road, 1 mile west of U.S. Hwy 43.",,,,34.580877,-87.719854,WGS84,2109,,"Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",67670,178,urn:uuid:c9e7f73c-fc72-4c2f-816d-c0a6bf717df4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287850
4287851,MOR,BRAHMS_60046,,"Preserved specimen",60fd3278-b07a-46c9-b7f9-5ae3f5b4da7c,0059313MOR,39278,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,"Brown, B",,,,,,,"Clark, RC",,"17,906",1967-08-10,1967,8,10,222,,8/10/1967,,,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Perry,,"Roadside of Forest Service Rd. 400, vicinity of Levert.",,,,32.75814,-87.238898,WGS84,1698,,"Louise & Lee",,GeoLocate,,"based on collectors description/could not locate Forest Service Rd. 400",,,,,,,,,admin,"2015-06-03 00:00:00",67671,178,urn:uuid:60fd3278-b07a-46c9-b7f9-5ae3f5b4da7c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287851
4287852,MOR,BRAHMS_60047,,"Preserved specimen",22126870-5f34-495b-9ee8-cf36164c84b7,0059311MOR,57828,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus austrina",97528,Small,Quercus,,austrina,,,Species,"Brown, B",,,,,,,"Clark, RC",,9105,1966-10-04,1966,10,4,277,,10/4/1966,"Quercus durandii Buckley var. austrina (Small) Palmer",Ravine,,,,,,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Clarke,,"Ravine along Co. Rd. 15, near Salt Creek, south of Jackson.",,,,31.444551,-87.871787,WGS84,210,,"Louise & Lee",,GeoLocate,,"based on collectors description",,,,,,,,,admin,"2015-06-03 00:00:00",67672,178,urn:uuid:22126870-5f34-495b-9ee8-cf36164c84b7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4287852
