id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
6463948,NY,,,PreservedSpecimen,1296ce4c-a6a2-47ee-a707-a7cef307fa9f,248619,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,"Unspecified Determiner",,,,,,type,"Biltmore Herbarium",,,,1901,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,,,,,,,sheet,"United States of America",Alabama,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2016-09-27 00:00:00",1296ce4c-a6a2-47ee-a707-a7cef307fa9f,40,urn:uuid:487fe8bb-a287-4e65-80d5-7274b9052c7c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6463948
7423167,NCSC,,,PreservedSpecimen,360ed568-c3d6-49f3-9aaa-9d8b74e56693,NCSC00046677,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Alabama,"St. Clair",,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2019-08-14 03:19:22",,254,urn:uuid:360ed568-c3d6-49f3-9aaa-9d8b74e56693,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7423167
8970541,MOR,BRAHMS_75970,,"Preserved specimen",dff5eca4-b5b5-4f86-9b7a-da7c59f29889,0073169MOR,180707,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,"World - EN B1+2c (IUCN 2009 Red List)",,,"Lobdell, MS",,,,2015,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, habitat",,,,,"Rubus, Rhus, Pinus echinata, Carya cordiformis, Carya ovata.","Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,"St. Clair",,,,1,,,,,,,,,,,,,,,,,,,,AndrM,"2015-12-10 00:00:00",,178,urn:uuid:dff5eca4-b5b5-4f86-9b7a-da7c59f29889,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8970541
8989894,MOR,BRAHMS_70295,,"Preserved specimen",4cde83b7-44e7-488e-aaee-b3cbdeff7149,0068394MOR,10322,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,"World - EN B1+2c (IUCN 2009 Red List)",,,"Harbison, T",,,,1914,,,,,,"Handwritten beside label: Quercus stellata var. boyntonii Sarg.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceRemarks, georeferencedBy, georeferenceSources",,,,,,"Flower: N Fruit: N Vegetation: Y Bud: N",,0,,,,,"United States",Alabama,Etowah,,,,1,,,,,,,,,,,,,,,,,,,,admin,"2015-06-03 00:00:00",,178,urn:uuid:4cde83b7-44e7-488e-aaee-b3cbdeff7149,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8989894
12805056,TROY,,,PreservedSpecimen,TROY000020153,TROY000020153,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Robert Kral","Brian R. Keener",,,2002,,,,,,,,,"Small trees perhaps reaching 15-20 ft.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Fruit,,,,,,,"United States",Alabama,Blount,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000020153,322,urn:uuid:fcc40a4f-7c62-48bc-bc13-2a0ab233191c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12805056
12805057,TROY,,,PreservedSpecimen,TROY000020154,TROY000020154,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Robert Kral","Brian R. Keener",,,2002,,,,,,,,,"Small trees perhaps reaching 15-20 ft.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Fruit,,,,,,,"United States",Alabama,Blount,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000020154,322,urn:uuid:d78ba293-5f60-4f9b-8cae-e7e05f199746,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12805057
12805058,TROY,,,PreservedSpecimen,TROY000020155,TROY000020155,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Alvin R. Diamond",,,,2005,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Fruit,,,,,,,"United States",Alabama,Chilton,,,"White Oak Valley Plantation.",1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000020155,322,urn:uuid:68ef027f-294d-4c88-9664-0b8012afba7f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12805058
12805059,TROY,,,PreservedSpecimen,TROY000020156,TROY000020156,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Brian R. Keener",,,,2004,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Fruit,,,,,,,"United States",Alabama,"St. Clair",,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000020156,322,urn:uuid:ebfe5579-4e96-45df-84da-533aa51e0e6d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12805059
12805060,TROY,,,PreservedSpecimen,TROY000020157,TROY000020157,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Brian R. Keener",,,,2006,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Vegetative,,,,,,,"United States",Alabama,"St. Clair",,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000020157,322,urn:uuid:39186f52-c967-413e-8509-68f484509f80,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12805060
12813208,TROY,,,PreservedSpecimen,TROY000028652,TROY000028652,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus boyntonii",97531,Beadle,Quercus,,boyntonii,,,Species,,,,,,,,"Brian R. Keener",,,,2007,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,Vegetative,,,,,,,"United States",Alabama,Etowah,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-17 08:49:42",TROY000028652,322,urn:uuid:34b31631-5840-4aee-8b94-39a9193a323c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12813208
