coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
4039911,"R. Spellenberg,",,unknown,,"Quercus carmenensis",1,,Quercus,carmenensis,,,,bd61c056-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:7da347ea-8294-4990-8420-04d5a34d697e,"2014-02-21 18:08:59"
13174773,"Rich Spellenberg",,1992,,"Quercus arizonica",0,Sarg.,,,,,,"""Quercus arizonica Sarg. (ident. 1992 Rich Spellenberg).""",urn:uuid:260866ab-cea0-4959-b8fb-96452cb3cb42,"2020-02-17 20:20:15"
13174773,"A. Michael Powell and S.A. Powell",,"5 Oct 1991",,Quercus,0,L.,,,,,,,urn:uuid:b7a83f6f-db46-484d-90ec-c8508e11216d,"2020-02-17 20:19:09"
13174771,"A. Michael Powell and S.A. Powell",,"11 September 1982",,Quercus,0,,,,,,,,urn:uuid:2fb252d4-0384-4a42-bcbb-91fa1579d967,"2020-02-17 20:14:23"
13174771,"K. Nixon",,1982,,"Quercus carmenensis",0,"C.H. Mull.",,,,,,"""First record for United States""",urn:uuid:37977dce-147f-4b34-a9d2-c682b526ea81,"2020-02-17 20:13:43"
13174770,"Rich Spellenberg",,1992,,"Quercus carmenensis",0,"C.H. Mull.",,,,,,,urn:uuid:82d03136-7220-430f-948b-4851ab06da06,"2020-02-17 20:08:47"
13174770,"A. Michael Powell and S.A. Powell",,"5 Oct 1991",,"Quercus carmenensis",0,"C.H. Mull.",,,,,,"""Quercus cf. carmenensis C.H. Mull.""",urn:uuid:7244aa67-c03b-4bbb-8780-db16bc0c3432,"2020-02-17 20:08:10"
13174769,"Rich Spellenberg",,1992,,"Quercus arizonica",0,Sarg.,,,,,,"""Quercus near arizonica Sarg. (ident. 1992 Rich Spellenberg)""",urn:uuid:7692806b-06e8-4d3f-b269-946f38a1583b,"2020-02-17 20:01:56"
13174767,"Rich Spellenberg",,1992,,"Quercus carmenensis",0,"C.H. Mull.",,,,,,"""Introgressed with Q. intricata Trel. (ident. Rich Spellenberg) 1992""",urn:uuid:38ef746d-9551-4ffa-b3d7-9979587e6b6c,"2020-02-17 19:59:29"
22999130,"D. Breedlove",,"not specified",,"Quercus undulata Torrey",0,Torrey,,,,,,,urn:uuid:8f86aa0a-fbba-4737-a379-893f26bab3f7,"2019-10-24 23:18:20"
22999130,"not specified",,"not specified",,"Quercus carmenensis C. H. Müller",0,"C. H. Müller",,,,,,,urn:uuid:0a2733ef-d5a8-4e5b-8aaa-d5586b6dce5c,"2020-02-13 13:52:16"
