id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3140773,NMC,,,PreservedSpecimen,,69497,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,,,,,,,,"Harper, G, J Medel, D Doan-Crider",,,,1997,,,,,,,,,"V,MF; Seems to be some sort of high elev. zeric assoctn.; occurance is approx. 3+hectares",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,Mexico,Coahuila,Mexico,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",69497,22,urn:uuid:c45ea3da-6b8c-4799-8e29-2468d850c745,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3140773
3140774,NMC,,,PreservedSpecimen,,69498,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,,,,,,,,"Wood, S, C Cirider, D Doan-Crider",,,,1997,,,,,,,,,"V; Site on mtn. slope modrtly. to densely cvrd w/a mixture of conifers and oaks;lots of litter-mostly brkn dwn wood chips frm deadfalls, oak leaves & needles- abt 3 cm thick;oaks scattered & Gambel's known only frm this area in the Sierra del Carmens",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,Mexico,Coahuila,Mexico,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",69498,22,urn:uuid:49a29ee2-62c4-4b77-9105-44f9a01203d4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3140774
3140775,NMC,,,PreservedSpecimen,,69499,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,,,,,,,,"Wood, S, C Cirider, D Doan-Crider",,,,1997,,,,,,,,,"V,EF; Soils skeletal;lots of humus;Extends down to the drainage bottom & to the E on the adjacent NW facing slope as well as to the W & head of canyon;litter & frobs abundant",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,Mexico,Coahuila,Mexico,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",69499,22,urn:uuid:c9ada72c-0782-4986-9a66-c3b0f5157846,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3140775
3140776,NMC,,,PreservedSpecimen,,69500,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,,,,,,,,"Wood, S, C Cirider, D Doan-Crider",,,,1997,,,,,,,,,"V,EF; Veg type extends to W about 100m-chngs abrptly to Az. oak wdlnd and extends dwn slope to drainage;smll occrnc,not widespread in this area-occurs as patches in oak wdlnds on drier soils",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,Mexico,Coahuila,Mexico,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",69500,22,urn:uuid:13c380a1-ab5f-42e4-a89f-ea6b8128ed88,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3140776
3140777,NMC,,,PreservedSpecimen,,69501,,,,,,,,"Quercus carmenensis subsp. x",,,,,,,,,,,,,,,,"Harper, G, J Medel, D Doan-Crider",,97GC025,1997-08-29,1997,8,29,241,,,,"Slope:35;Foothill desert shrubland on the lower footslopes of the W escarpment;very shrubby veg type on S slope5+hectares;stringers of oak types;oppst N facing slope covered w/pinon cembroides, oak wdlnds",,"V,EF; Shrublnd rocky",,,,,,,,,,,,,,,Mexico,Coahuila,Mexico,,"West Escarpment; UTM Nrthng: 3208664 UTM Estng: 729866 aspect: 160",,,,,,,,,,,,,,66,,,,,1953.66m,,,,"2015-05-01 23:25:37",69501,22,urn:uuid:93bba7e2-9b8e-4836-b8d8-f29a7c01c39a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3140777
4039911,UNM,"Vascular Plants",,PreservedSpecimen,06e7baf2-6074-4ec1-bcc6-d1e2a417b74e,UNM0048964,96937,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,"R. Spellenberg",,,,,,,"G. Harper","J. Medel; D. Doan-Crider",,,1997,,,,,,"Unknown igneous. Chaparral or Oak Woodland. Aspect: 200 Slope: 58 For full site description, see specimen.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, georeferenceProtocol, habitat",,,,,,,,,,,,"Sheets - 1",Mexico,"Coahuila de Zaragoza","Unplaced County",,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2010-11-30 11:29:24",39005,21,urn:uuid:06e7baf2-6074-4ec1-bcc6-d1e2a417b74e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039911
7446088,NCSC,,,PreservedSpecimen,16031669-c152-431e-a11f-93285fad01d7,NCSC00070289,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Coahuila,,,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2019-08-14 03:19:22",,254,urn:uuid:16031669-c152-431e-a11f-93285fad01d7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7446088
13174767,SRSC,,,PreservedSpecimen,,3917,"BIBE-1353, BIBE 40067-A","Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,"B.L. Turner","30 Aug 2001",,,,,,"A. Michael Powell","S.A. Powell",,,1991,,,,,,"Introgressed with Q. intricata Trel. (ident. Rich Spellenberg) 1992.",,,Shrub.,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,"Quercus intricata Trel.",,,,,,,,USA,Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2020-02-17 19:50:27",,223,urn:uuid:5a8e7116-2ce6-4b43-a041-e3a6ac09a8e0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13174767
13174769,SRSC,,,PreservedSpecimen,,3918,"BIBE-1353, BIBE 40068","Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,"B.L. Turner","30 Aug 2001",,,,,,"A. Michael Powell","S.A. Powell",,,1991,,,,,,"?lvs revolute > intricata.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2020-02-17 19:59:58",,223,urn:uuid:599e3f42-fae9-4caa-ad3c-4a8fab8e7aaf,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13174769
13174770,SRSC,,,PreservedSpecimen,,3919,"BIBE-1353, BIBE 40066","Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus carmenensis",97535,"C.H. Mull.",Quercus,,carmenensis,,,Species,"B.L. Turner","30 Aug 2001",,,,,,"A. Michael Powell","S.A. Powell",,,1991,,,,,,,,,"Scrub oak.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2020-02-17 20:32:52",,223,urn:uuid:98310370-1351-442f-99ed-ad045981b34e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13174770
