Source,Species,decimalLongitude,decimalLatitude
GBIF,Quercus engelmannii Greene,-110.616667,30.9
GBIF,Quercus engelmannii,-116.3996,31.5987
GBIF,Quercus engelmannii,-116.5979,32.50947
GBIF,Quercus engelmannii,-116.616667,32.516667
GBIF,Quercus engelmannii,-116.616667,32.516667
GBIF,Quercus engelmannii,-116.616667,32.516667
GBIF,Quercus engelmannii  Greene,-116.616667,32.516667
GBIF,Quercus engelmannii,-116.61667,32.51667
GBIF,Quercus engelmanni,-116.625,32.525
GBIF,Quercus engelmannii,-116.625,32.525
GBIF,Quercus engelmannii,-116.625,32.525
GBIF,Quercus engelmannii,-116.625,32.525
GBIF,Quercus engelmannii  Greene,-116.625,32.525
GBIF,Quercus engelmannii Greene,-116.625,32.525
GBIF,Quercus engelmannii,-116.80417,32.56222
GBIF,Quercus engelmannii,-116.80417,32.56222
GBIF,Quercus engelmannii,-116.750795,32.589042
GBIF,Quercus engelmannii,-116.64159,32.58927
GBIF,Quercus engelmannii,-116.77471,32.59801
GBIF,Quercus engelmannii,-116.811228,32.601273
GBIF,Quercus engelmannii,-116.61942,32.60642
GBIF,Quercus engelmannii,-116.88139,32.60667
GBIF,Quercus engelmannii,-116.88139,32.60667
GBIF,Quercus engelmannii,-116.55917,32.60667
GBIF,Quercus engelmannii,-116.55917,32.60667
GBIF,Quercus engelmannii,-116.55917,32.60667
GBIF,Quercus engelmannii,-116.88139,32.60667
GBIF,Quercus engelmannii,-116.88139,32.60667
GBIF,Quercus engelmannii,-116.7508,32.6071
GBIF,Quercus engelmannii,-116.75111,32.60722
GBIF,Quercus engelmannii  Greene,-116.4697,32.6095
GBIF,Quercus engelmannii,-116.90528,32.61583
GBIF,Quercus engelmannii,-116.89353,32.63438
GBIF,Quercus engelmannii,-116.643544,32.635592
GBIF,Quercus engelmannii,-116.665326,32.643126
GBIF,Quercus engelmannii,-116.78061,32.64352
GBIF,Quercus engelmannii,-116.78362,32.650565
GBIF,Quercus engelmannii,-116.785835,32.650698
GBIF,Quercus engelmannii,-116.787982,32.65087
GBIF,Quercus engelmannii,-116.787975,32.650882
GBIF,Quercus engelmannii,-116.706842,32.651405
GBIF,Quercus engelmannii,-116.707733,32.653228
GBIF,Quercus engelmannii,-116.708205,32.653408
GBIF,Quercus engelmannii,-116.70914,32.65592
GBIF,Quercus engelmannii,-116.79079,32.65695
GBIF,Quercus engelmannii,-116.81507,32.66014
GBIF,Quercus engelmannii,-116.8021,32.66678
GBIF,Quercus engelmannii,-116.5576,32.669
GBIF,Quercus engelmannii,-116.5752,32.6721
GBIF,Quercus engelmannii,-116.56439,32.67516
GBIF,Quercus engelmannii,-116.56439,32.67519
GBIF,Quercus engelmannii,-116.74833,32.67611
GBIF,Quercus engelmannii,-116.91891,32.67749
GBIF,Quercus engelmannii,-116.797147,32.678399
GBIF,Quercus engelmannii,-116.822525,32.679328
GBIF,Quercus engelmannii,-116.822463,32.679383
GBIF,Quercus engelmannii,-116.540292,32.679803
GBIF,Quercus engelmannii,-116.785685,32.685752
GBIF,Quercus engelmannii,-116.70583,32.68597
GBIF,Quercus engelmannii,-116.787432,32.686262
GBIF,Quercus engelmannii,-116.7744,32.6872
GBIF,Quercus engelmannii,-116.81527,32.68936
GBIF,Quercus engelmannii,-117.009144,32.69425
GBIF,Quercus engelmannii,-116.811667,32.694972
GBIF,Quercus engelmannii,-116.818728,32.700882
