coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
5569560,"Gilbert A. Voss",,1993-10-26,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:406465c3-f611-428b-929d-a96032c288da,"2014-12-23 13:15:32"
5569561,"Gilbert A. Voss",,1993-10-26,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:5761b8d4-6866-452b-bc0c-065c6a44de55,"2014-12-23 13:15:32"
974787,"G.A. Voss",,1993-10-26,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:bebc90ea-08c5-4fbd-aade-ee7fd9081523,"2014-07-25 16:26:02"
3240380,"Jon P. Rebman",,2008-01-01,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:503d0e9f-8610-4ddd-af54-0713cc5e6e46,"2014-07-25 16:26:02"
974788,"G.A. Voss",,1993-10-26,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:f1145fa2-0e04-4f20-8b99-3fe1ea58efc4,"2014-07-25 16:26:02"
999241,"Jon P. Rebman",,2007-01-01,,"Quercus engelmannii",0,Greene,,,,,,,urn:uuid:2402150a-38fb-4f64-ad33-cf7cb29efdc2,"2014-07-25 16:26:02"
3529018,"Mary Dellavalle",,1997-01-07,,"Quercus engelmannii x Quercus dumosa",0,"E. Greene Nutt.",,,,,"A Flora of San Diego County 1986, R. Mitchel Beauchamp. (based on listed synonymy only; not verified from morphological study)",,urn:uuid:0957a624-bf6a-483a-b1c3-b6f4d7c88fcf,"2020-03-21 10:17:21"
3529018,unknown,,s.d.,,"Quercus X grandidentata",0,Ewan,,,,,,,urn:uuid:47034bf9-b38a-4055-9f0d-595eedf8d33e,"2020-03-21 10:17:21"
8627972,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:53e06328-86af-47d1-bc50-d2b2edde97ed,"2019-12-11 11:03:56"
8627972,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:f242f1df-5ade-4d7a-9315-e1864829b803,"2016-03-04 04:20:51"
8627971,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:9fccbd84-bd0a-419f-873f-16e56398759c,"2019-12-11 11:03:56"
8627971,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:e1f0190d-dcc7-490c-802f-d8a13f2a3ca9,"2016-03-04 04:20:51"
8627975,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:23377b16-2c93-40a6-82ea-0a34b9f511f7,"2019-12-11 11:03:56"
