id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
300835,UCR,,,PreservedSpecimen,UCR-BPS-11366,,UCR-11366,,,,,,,"Quercus engelmannii X cornelius-mulleri",,"E. Greene",,,,,,,"A.C. Sanders",2015,,,,,,"Galen R. Hunsicker",,s.n.,1971-06-07,1971,6,7,158,,1971-6-7,"Growing all along slopes. Commonly used for nest building by Aquila chrysaetos (Golden Eagle).",Slopes.,,,,,,,,,,,,,,,,,"United States",California,"San Diego",,"South Moosa Valley, west side of Lawrence Welk golf course resort",,,,33.23361,-117.14444,,,,,,TopoZoneACS,,,152,,,,,,,,,"2019-10-27 17:02:00",1446795,9,urn:uuid:9269fd6f-2877-4bc4-957d-33b9808fa899,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300835
300860,UCR,,,PreservedSpecimen,UCR-BPS-18978,,UCR-18978,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"John C. Roos",,,,1946,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446820,9,urn:uuid:ffb6964f-5148-41fe-8b5b-6c8af2872a61,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300860
300861,UCR,,,PreservedSpecimen,UCR-BPS-2937,,UCR-2937,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"Wm. Horn Jr.",,,,1963,,,,,,"Tree c. 10 m tall.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,Riverside,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446821,9,urn:uuid:9a9fe8ef-e849-4eb3-9f23-51f6bc8584c9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300861
300862,UCR,,,PreservedSpecimen,UCR-BPS-25725,,UCR-25725,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"John LaSalle",,,,1982,,,,,,"Tree growing among other shrubs in chaparral on a hillside near the road.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude",,,,,,,,,,,,,"United States",California,Riverside,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446822,9,urn:uuid:17f54a46-c5e4-4784-9db2-298fefdf4fe4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300862
300863,UCR,,,PreservedSpecimen,UCR-BPS-9291,,UCR-9291,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"Eric Stamets",,,,1969,,,,,,"Associated with Quercus kelloggii, Q. agrifolia, Q. dumosa, etc.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"San Diego",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446823,9,urn:uuid:9eb858ec-a0b0-44bc-8620-a12c1cbe90c9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300863
300864,UCR,,,PreservedSpecimen,UCR-BPS-23862,,UCR-23862,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,"Kelly P. Steele",1983,,,,,,"John C. Roos",,,,1965,,,,,,"30-40 ft. tall tree.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"San Diego",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446824,9,urn:uuid:ad8d9789-4c7d-42e1-b837-dec9965ca622,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300864
316037,UCR,,,PreservedSpecimen,UCR-BPS-50682,,UCR-50682,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,"D. Charlton",1988,,,,,,"Lyman Benson",,,,1960,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1461845,9,urn:uuid:7cf0f402-df18-4d09-b177-1080e73bbda8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=316037
316038,UCR,,,PreservedSpecimen,UCR-BPS-51252,,UCR-51252,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,"A.C. Sanders",1988,,,,,,"Lyman Benson",,,,1947,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1461846,9,urn:uuid:fb7bc32f-6cd2-4fe1-a38c-4289391669fe,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=316038
316039,UCR,,,PreservedSpecimen,UCR-BPS-56698,,UCR-56698,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"Jack Easton",,,,1989,,,,,,"Flat area with Eriogonum fasciculatum, Artemisia californica, Bromus rubens, etc.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",,,,,,,,,,,,,"United States",California,Riverside,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1461847,9,urn:uuid:3b117a38-b8ff-44a4-a0eb-67b6303606a1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=316039
316040,UCR,,,PreservedSpecimen,UCR-BPS-66549,,UCR-66549,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus engelmannii",97557,Greene,Quercus,,engelmannii,,,Species,,,,,,,,"P.A. Munz",,,,1946,,,,,,"Tree 30 ft. high and 40 ft. across. Propagation no. 5356.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,Riverside,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1461848,9,urn:uuid:c809160d-50b8-4629-bd2c-dc3bcb211d5f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=316040
