id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
163736,ASU,Pollen,,PreservedSpecimen,7171a6d8-1759-402d-b146-edaca14b6fba,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,,,,,,,,,,,"J.E. Canright",,,,,,,,,,,,,0,,,,,USA,Georgia,Burrow,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",4403,10,urn:uuid:7171a6d8-1759-402d-b146-edaca14b6fba,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=163736
4159767,TTRS,,,PreservedSpecimen,urn:uuid:739e1339-5722-4978-87cf-e5ab75c55d46,TTRS_000006660,5005,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1980,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,,,,,,,,"United States",Florida,,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",TTRS_000006660,174,urn:uuid:2bed2e19-da11-48d8-95a1-29f71a29d1fd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159767
4159768,TTRS,,,PreservedSpecimen,urn:uuid:f79a60ef-87f3-467d-82d5-45d95d608aa4,TTRS_000006661,5014,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,"Godfrey, Robert K.",,,,1980,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceRemarks, georeferenceProtocol",,,,,,,,,,,,,"United States",Georgia,Newton,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",TTRS_000006661,174,urn:uuid:352e7380-5b1b-4fe8-9150-d66fcce3692b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4159768
5628635,ALBC,,,PreservedSpecimen,88215fba-73c7-49f2-8279-dc81eefce7ba,ALBC003844,"Accesion Number 000433","Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,,,,,1897,,,,,,"From the Biltmore Herbarium. Herbarium of C.W. Fallass (Coll. #1252). Petoskey, Michigan.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,,,,,,,,"United States",Georgia,,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",,201,urn:uuid:88215fba-73c7-49f2-8279-dc81eefce7ba,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5628635
5725788,LSU,"Vascular Plants",,PreservedSpecimen,44592f04-27a5-11e3-8d47-005056be0003,LSU00079294,50910,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,"Lowell E. Urbatsch",,,,1968,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Georgia,Newton,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2005-07-11 12:00:00",83959,210,urn:uuid:1d8734e2-28b0-4e87-98b3-9eecbfaf084f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5725788
5792245,MISSA,,,PreservedSpecimen,a6df790a-f5d3-4c8d-9532-d06bfb5828f9,MISSA014874,8368,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,"Allen H. Curtiss",,,,,,,,,,,,,,,"field values redacted: verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferencedBy, georeferenceSources, georeferenceVerificationStatus",,,,,,sterile,,,,,,,"United States",Georgia,"De Kalb",,,,1,,,,,,,,,,,,,,,,,,,,mabi,"2019-08-14 03:19:22",,216,urn:uuid:a6df790a-f5d3-4c8d-9532-d06bfb5828f9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5792245
5854098,DSC,,,PreservedSpecimen,deb51f12-f697-4608-8c90-68fd56a4d510,DSC103990,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,FAGACEAE,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,"Georgia oak",,,"M. P. Burbanck, A. Rebuck, R. Nunan",,,,1957,,,,,,"Collected by the Southern Appalachian Botanical Club, Sixteenth Distribution of Southeastern Plants, #1511.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Georgia,DeKalb,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",,218,urn:uuid:deb51f12-f697-4608-8c90-68fd56a4d510,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5854098
5885819,MISS,,,PreservedSpecimen,aac31f8c-8d1d-4398-b4f5-b3eafc203e94,MISS0018655,36303,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,"S. B. Jones",,,,1969,,,,,,"Det: W. H. Duncan, 4 m tall small tree",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,,USA,Georgia,Walton,,,,1,,,,,,,,,,,,,,,,,,,,lucilemccook,"2019-08-14 03:19:22",,220,urn:uuid:aac31f8c-8d1d-4398-b4f5-b3eafc203e94,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5885819
6025237,USMS,,,PreservedSpecimen,680e18b8-ecd1-40b9-aa2a-6c9c1669fdeb,USMS_000010888,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,,,,,,,,,,,,,,,,,,,,,,,"field values redacted: locality",,,,,,,,,,,,,"United States",Georgia,"Lowndes County",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",,221,urn:uuid:680e18b8-ecd1-40b9-aa2a-6c9c1669fdeb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6025237
6460566,NY,,,PreservedSpecimen,363b48a2-f0ca-46a5-bf75-30e4b426908e,248643,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Rosids|Fabids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus georgiana",97563,"M.A. Curtis",Quercus,,georgiana,,,Species,"Unspecified Determiner",,,,,,"possible type","H. W. Ravenel",,,,,,,,,,,,,,,"field values redacted: verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceSources",,,,,,,,,,,,sheet,"United States of America",Georgia,"DeKalb Co.",,,,1,,,,,,,,,,,,,,,,,,,en,,"2021-01-06 21:45:38",363b48a2-f0ca-46a5-bf75-30e4b426908e,40,urn:uuid:8a14589d-83c0-410a-a07b-7fd20ea67e78,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6460566
