id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3524165,DBG,KHD,,PreservedSpecimen,41c0eea6-fdb7-4e60-98dd-3d8b5836a0cf,KHD00043599,11501,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,,"Peter G. Root",,,,1963,,,,,,,,,"Tree 25 feet tall.",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",,113,urn:uuid:41c0eea6-fdb7-4e60-98dd-3d8b5836a0cf,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3524165
4444380,F,Botany,,PreservedSpecimen,7f707507-7546-46fa-8650-1b82da90fc47,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,Isotype,"C. H. Müller",,,,1933,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Texas,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2019-09-05 17:05:44",7f707507-7546-46fa-8650-1b82da90fc47,181,urn:uuid:7c36ebf1-a014-43d3-98a1-9a48046f0e46,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4444380
4464997,F,Botany,,PreservedSpecimen,cf27b5d1-1f3c-45d8-9ac4-5bc653ba3e33,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis Form parvilobata",,"C. H. Müll.",,,,,,,,,,,,,Isosyntype,"C. H. Müller",,566b,1933-08-25,1933,8,25,237,,1933-8-25,,,,,,,,,,,,,,,,,,,U.S.A.,Texas,,,,,,,,,,,,,"TGN - Centroid",,,,,,,,,,,en,,"2019-09-05 17:05:44",cf27b5d1-1f3c-45d8-9ac4-5bc653ba3e33,181,urn:uuid:e75e0d00-2875-464d-8047-1be1e888a4b2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464997
4464998,F,Botany,,PreservedSpecimen,22c17061-442a-4f2d-b89e-e1184db3de79,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis Form parvilobata",,"C. H. Müll.",,,,,,,,,,,,,Isosyntype,"C. H. Müller",,566c,1933-08-25,1933,8,25,237,,1933-8-25,,,,,,,,,,,,,,,,,,,U.S.A.,Texas,,,,,,,,,,,,,"TGN - Centroid",,,,,,,,,,,en,,"2019-09-05 17:05:45",22c17061-442a-4f2d-b89e-e1184db3de79,181,urn:uuid:26e8fb5b-5bd2-497e-a959-09ee4c3d9ea8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464998
7445744,NCSC,,,PreservedSpecimen,149dffde-4f8f-4fe9-b8d5-e4f90901f1c0,NCSC00069945,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,,,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2019-08-14 03:19:22",,254,urn:uuid:149dffde-4f8f-4fe9-b8d5-e4f90901f1c0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7445744
7445745,NCSC,,,PreservedSpecimen,0c5e376a-b8ef-491e-9d6a-5331af800416,NCSC00069946,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,,,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2019-08-14 03:19:22",,254,urn:uuid:0c5e376a-b8ef-491e-9d6a-5331af800416,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7445745
7445746,NCSC,,,PreservedSpecimen,f3e6bf1b-c5e0-4419-9890-f66326de9c3b,NCSC00069947,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,,,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2019-08-14 03:19:22",,254,urn:uuid:f3e6bf1b-c5e0-4419-9890-f66326de9c3b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7445746
7885209,NCSC,NCSC,,PreservedSpecimen,f7740472-e829-4dac-a31e-928b8d9fd6f6,NCSC00031777,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,,,,,,,,"Paul R. Fantz",,,,2005,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",,254,urn:uuid:f7740472-e829-4dac-a31e-928b8d9fd6f6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7885209
9286424,USCH,MAIN,,PreservedSpecimen,5e8b7e64-ff6d-11e2-9beb-001c23ce290f,,57005,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,"Powell, A.",,,,,,,"Powell, A.; Powell, S",,,,1982,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Texas,"Brewster County",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",5e8b7e64-ff6d-11e2-9beb-001c23ce290f,147,urn:uuid:9263ab04-67bd-40c6-aaf3-4a754225fae7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=9286424
9289610,USCH,MAIN,,PreservedSpecimen,5ec2cf90-ff6d-11e2-9beb-001c23ce290f,USCH0033800,113271,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus graciliformis",97565,"C.H. Mull.",Quercus,,graciliformis,,,Species,"Nelson, John",,,,,,,"Nelson, John",,,,2013,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, maximumElevationInMeters, decimalLatitude, decimalLongitude, habitat",,,,,,flowering,,,,,,,"United States","South Carolina","Lexington County",,,,1,,,,,,,,,,,,,,,,,,,,,"2020-04-01 09:21:31",5ec2cf90-ff6d-11e2-9beb-001c23ce290f,147,urn:uuid:acc66f4a-fccd-4fb5-8ca6-eca213b647fd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=9289610
