coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
924474,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:af44ea63-cd3a-4dec-a2e3-6ca4e83a8901,"2014-07-25 16:26:02"
924476,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:e776ed54-d871-41a7-91a8-ec1c9d88eb96,"2014-07-25 16:26:02"
924475,"J.M. Tucker",,1963-01-01,,"Quercus undulata",0,Engelm.,,,,,,"Q. havardii x Q. undulata",urn:uuid:4cbbecba-e534-4f35-891d-d663d23ab192,"2014-07-25 16:26:02"
924475,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:1cd4f688-4278-4192-90cd-3a76db6681eb,"2014-07-25 16:26:02"
924473,"J.M. Tucker",,1963-01-01,,"Quercus undulata",0,Engelm.,,,,,,"Q. havardii x Q. undulata",urn:uuid:ca5d1331-08b0-436e-80e5-7d68806f20a0,"2014-07-25 16:26:02"
924473,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:0318a2c9-7133-4631-8416-00f5d89367f7,"2014-07-25 16:26:02"
924472,"J.M. Tucker",,1963-01-01,,"Quercus undulata",0,Engelm.,,,,,,"Q. havardii x Q. undulata",urn:uuid:763385d8-dfb3-4f05-bb74-47f60f9a389b,"2014-07-25 16:26:02"
924472,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:106a15de-169c-4fc2-8fc3-7087421dbb23,"2014-07-25 16:26:02"
924471,"J.M. Tucker",,1963-01-01,,"Quercus undulata",0,Engelm.,,,,,,"Q. havardii x Q. gambelii",urn:uuid:c466884c-0ff5-4f43-80f3-501d2a24fec1,"2014-07-25 16:26:02"
924471,"L.R. Landrum",,s.d.,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:88b8885e-1152-4b14-9028-12dedbe72b1b,"2014-07-25 16:26:02"
889628,"John M. Tucker",,1955-10-09,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:581e38aa-85a2-4fc5-a0b7-e51241152655,"2014-07-25 16:26:02"
860627,"L.R. Landrum",,1990-08-10,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:b557f3db-6b60-4312-834a-70b5718db4fc,"2014-07-25 16:26:02"
960701,"Jon Anderson",,1993-06-10,,"Quercus havardii",0,Rydb.,,,,,,,urn:uuid:eaf80faa-d44b-45d7-ab2b-36f14a1657f2,"2014-07-25 16:26:02"
2113100,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:4764c437-00c3-477b-8638-b22a7a733c44,"2011-08-21 00:02:41"
2077950,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:278bbafe-5f25-40f9-8739-4f9334db970f,"2011-08-21 00:00:28"
2087153,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:0335b763-fb0f-4be7-8d7f-d4acfd91d178,"2011-08-21 00:02:41"
2087155,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:c73557d2-a78b-49b4-826f-0b82b37ed1b0,"2011-08-21 00:02:41"
2087156,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:0d6bbdfe-843c-41ef-a266-b67a3e787649,"2011-08-21 00:02:41"
2111279,"R.A. Denham",,4/23/1997,,"Quercus havardii var. tuckeri",0,Welsh,,,,,,,urn:uuid:3154cc26-0df6-4cb8-b7fa-16dc44d1d7dd,"2011-08-21 00:00:28"
4078734,"W.C. Martin and R. Mongold,",,1987-01-01,,"Quercus havardii",1,,Quercus,havardii,,,,bebd842f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:1a7d8bbb-0025-459d-aed4-2091cc5a8a43,"2014-02-21 18:08:59"
4078733,"W.C. Martin and R. Mongold,",,1987-01-01,,"Quercus havardii",1,,Quercus,havardii,,,,bebd826e-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:2f9c1109-2a61-4e9a-8581-472e2c610bcf,"2014-02-21 18:08:59"
4078732,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd80a9-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:40b86810-ea1f-4bff-be63-7b9ef4ef2f1b,"2014-02-21 18:08:59"
4078730,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd7d34-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:64e856c1-d8df-47dc-9332-cd048ee43ba3,"2014-02-21 18:08:59"
4078729,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd7b93-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:859c425d-95aa-4695-82da-a5d3655a86f6,"2014-02-21 18:08:59"
4078728,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd79e5-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:2384c64c-850e-4d89-830f-b34bd1257219,"2014-02-21 18:08:59"
4078727,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd7841-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:a9931151-765d-4420-943b-0603b8ff8b47,"2014-02-21 18:08:59"
4078726,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd7699-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:004ca2af-9bbc-48ed-a535-4318759c9f45,"2014-02-21 18:08:59"
4078724,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd7354-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:cd9ab9c6-88ab-4f6e-ad7d-1b4736af573a,"2014-02-21 18:08:59"
4078723,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd71ad-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:8ddaa166-f3c9-4f22-88f1-4c450b1a7aeb,"2014-02-21 18:08:59"
4078736,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd87be-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6a2e2684-67f7-4690-91c1-be32ae96fdc9,"2014-02-21 18:08:59"
4078738,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebd8b37-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:4a2e3d55-6adb-42b3-8fed-d710f3a029aa,"2014-02-21 18:08:59"
4115563,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bff8fab5-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:a4471e12-50d7-43b1-9b30-c0234c8d550f,"2014-02-21 18:08:59"
4115409,"Y. Chauvin,",,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bff7dc25-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:9fb4a37a-131b-48e0-831a-609209a0af09,"2014-02-21 18:08:59"
4078804,unknown,,unknown,,"Quercus havardii",1,,Quercus,havardii,,,,bebe0179-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:ec07d86e-16a1-4ff8-94e4-59d1b7a86e5d,"2014-02-21 18:08:59"
4078800,unknown,,unknown,,"Quercus havardii var. tuckeri",1,,Quercus,havardii,var.,tuckeri,,bbd889c9-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:9ddb88e3-bf6b-4020-8e54-1e7179ead330,"2014-02-21 18:08:59"
