coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
170048,https://api.idigbio.org/v2/media/87ed63c3a625a0123b155fab0e0b3dc9?size=fullsize,https://api.idigbio.org/v2/media/87ed63c3a625a0123b155fab0e0b3dc9?size=fullsize,https://api.idigbio.org/v2/media/87ed63c3a625a0123b155fab0e0b3dc9?size=thumbnail,https://api.idigbio.org/v2/media/87ed63c3a625a0123b155fab0e0b3dc9?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ba57c838-46fb-44ca-be10-3e34fd2f7dbb,"2018-04-05 11:58:06",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170048,StillImage,Photograph,en
170049,https://api.idigbio.org/v2/media/e2cb4627e8d9c84b7c70f0d1784f4a1c?size=fullsize,https://api.idigbio.org/v2/media/e2cb4627e8d9c84b7c70f0d1784f4a1c?size=fullsize,https://api.idigbio.org/v2/media/e2cb4627e8d9c84b7c70f0d1784f4a1c?size=thumbnail,https://api.idigbio.org/v2/media/e2cb4627e8d9c84b7c70f0d1784f4a1c?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:bca53296-9e5a-4b34-8094-4a8cb22ccd49,"2018-04-05 11:58:05",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170049,StillImage,Photograph,en
170050,https://api.idigbio.org/v2/media/4cd8a090b57f2eb496af673179ce4e53?size=fullsize,https://api.idigbio.org/v2/media/4cd8a090b57f2eb496af673179ce4e53?size=fullsize,https://api.idigbio.org/v2/media/4cd8a090b57f2eb496af673179ce4e53?size=thumbnail,https://api.idigbio.org/v2/media/4cd8a090b57f2eb496af673179ce4e53?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:070d4323-5a99-4cfe-b257-2dd47966db78,"2018-04-05 11:58:05",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170050,StillImage,Photograph,en
170051,https://api.idigbio.org/v2/media/29a4d6e707c3190bfbe13a39d1ab6646?size=fullsize,https://api.idigbio.org/v2/media/29a4d6e707c3190bfbe13a39d1ab6646?size=fullsize,https://api.idigbio.org/v2/media/29a4d6e707c3190bfbe13a39d1ab6646?size=thumbnail,https://api.idigbio.org/v2/media/29a4d6e707c3190bfbe13a39d1ab6646?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a9167739-820f-4e6b-84fe-ee2e4ec50dee,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170051,StillImage,Photograph,en
170052,https://api.idigbio.org/v2/media/9a9b1eda8dabf3e871ebd18fe3ad3284?size=fullsize,https://api.idigbio.org/v2/media/9a9b1eda8dabf3e871ebd18fe3ad3284?size=fullsize,https://api.idigbio.org/v2/media/9a9b1eda8dabf3e871ebd18fe3ad3284?size=thumbnail,https://api.idigbio.org/v2/media/9a9b1eda8dabf3e871ebd18fe3ad3284?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:641895f9-fd33-489d-afdc-afb9f5170879,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170052,StillImage,Photograph,en
170053,https://api.idigbio.org/v2/media/5e4d0d3ff1ad669e0bc8f26c462d0a7c?size=fullsize,https://api.idigbio.org/v2/media/5e4d0d3ff1ad669e0bc8f26c462d0a7c?size=fullsize,https://api.idigbio.org/v2/media/5e4d0d3ff1ad669e0bc8f26c462d0a7c?size=thumbnail,https://api.idigbio.org/v2/media/5e4d0d3ff1ad669e0bc8f26c462d0a7c?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:953d712c-6344-4b62-91c0-b28c7ab2f196,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170053,StillImage,Photograph,en
170054,https://api.idigbio.org/v2/media/ded754152a168f7f3aac8c6b928cdc42?size=fullsize,https://api.idigbio.org/v2/media/ded754152a168f7f3aac8c6b928cdc42?size=fullsize,https://api.idigbio.org/v2/media/ded754152a168f7f3aac8c6b928cdc42?size=thumbnail,https://api.idigbio.org/v2/media/ded754152a168f7f3aac8c6b928cdc42?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a3849822-f604-4c56-b86a-5bfbcc2d8b61,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170054,StillImage,Photograph,en
170055,https://api.idigbio.org/v2/media/cd14c8869b3c772e8d48000cc8f0275e?size=fullsize,https://api.idigbio.org/v2/media/cd14c8869b3c772e8d48000cc8f0275e?size=fullsize,https://api.idigbio.org/v2/media/cd14c8869b3c772e8d48000cc8f0275e?size=thumbnail,https://api.idigbio.org/v2/media/cd14c8869b3c772e8d48000cc8f0275e?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a7b08622-2123-4aad-81c5-38932c84d22b,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170055,StillImage,Photograph,en
170056,https://api.idigbio.org/v2/media/e40e9874e8f24b56b87a2a363960bcc0?size=fullsize,https://api.idigbio.org/v2/media/e40e9874e8f24b56b87a2a363960bcc0?size=fullsize,https://api.idigbio.org/v2/media/e40e9874e8f24b56b87a2a363960bcc0?size=thumbnail,https://api.idigbio.org/v2/media/e40e9874e8f24b56b87a2a363960bcc0?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fb929842-7ff4-4320-a1c2-95a2ec0f3ecc,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170056,StillImage,Photograph,en
170057,https://api.idigbio.org/v2/media/704444e9dc8910c80c62a1edd2419728?size=fullsize,https://api.idigbio.org/v2/media/704444e9dc8910c80c62a1edd2419728?size=fullsize,https://api.idigbio.org/v2/media/704444e9dc8910c80c62a1edd2419728?size=thumbnail,https://api.idigbio.org/v2/media/704444e9dc8910c80c62a1edd2419728?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f3ff236f-0899-42ec-92f0-b2ae3475291f,"2018-04-05 11:58:03",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=170057,StillImage,Photograph,en
