id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
371421,UCR,,,PreservedSpecimen,UCR-BPS-77443,,UCR-77443,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"D.H. Riskind","R.D. Worthington",,,1993,,,,,,"1 m shrub. First record for Brewster Co. and first record for the E side of The Solitario.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, habitat",,,,,,,,,,,,,"United States",Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1515282,9,urn:uuid:9260a706-99a6-4c47-ae08-571c522e55b5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=371421
2066654,DES,,,PreservedSpecimen,8238a80b-8ab2-45ad-ad26-a7f9f3698cd5,DES00037564,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"R. D. Worthington","David Riskind",,,1993,,,,,,,,,"One m high shrub",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, verbatimCoordinates",,,,,"Cowania and Mortonia",leaves,,0,,,,,USA,Colorado,"Brewster County",,,,1,,,,,,,,,,,,,,,,,,,,jane,"2015-02-23 01:58:04",34540,5,urn:uuid:8238a80b-8ab2-45ad-ad26-a7f9f3698cd5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066654
3137082,NMC,,,PreservedSpecimen,,59157,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"Powell, AM",,,,1981,,,,,,,,,"V; Pop 1 (5779), ca 4200', steep NW-facing drainage, ca 12-14 pls, app. rhizomatous clones; indiv. pls pressed as vouchers. Pop 2 (5780), ca 42-4400', W-facing steep slope, shallow drainage and on convex slope, 200 or + pls; indiv. pls pressed as vouchers",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",59157,22,urn:uuid:7b9fe24d-857a-472d-8f38-abb1e40db8d4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3137082
3137148,NMC,,,PreservedSpecimen,,59262,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"Riskind, DH",,,,1991,,,,,,,,,"V; Specimen from dried twig, softened, pressed",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,,,,,,,,Mexico,Chihuahua,"Manuel Benavides",,,,1,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",59262,22,urn:uuid:1643d68d-188e-4c9d-8915-1ddf5e855cbd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3137148
3139313,NMC,,,PreservedSpecimen,,66682,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"Riskind, D",,,,1993,,,,,,,,,"V; 1 m shrub; 1st record for Brewster Co., 1st for E side of Solitario",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,,,,,,,,"United States",Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",66682,22,urn:uuid:53d67034-7dac-47e9-9bbb-79f84dbb4a8a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3139313
4020585,UNM,"Vascular Plants",,PreservedSpecimen,5e9d3eb1-c937-47cc-9eba-a9eaf26decf2,UNM0049624,91413,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"D. Riskind",,,,1993,,,,,,"Santa Elena formation limestone outcrop, E slope. (E edge of the BBRSNA property) With Mortonia and Cowania. 1 m shrub. Voucher: First record for Brewster Co. and first locality on the E side of The Solitario. Processed by R. Worthington 21733. Ex Herb. U",,,"1 m shrub.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, georeferenceProtocol, habitat",,,,,"Mortonia and Cowania.",,,,,,,"Sheets - 1","United States",Texas,Brewster,,,,1,,,,,,,,,,,,,,,,,,,,preprocessed,"2009-05-02 19:14:58",19660,21,urn:uuid:5e9d3eb1-c937-47cc-9eba-a9eaf26decf2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020585
4444383,F,Botany,,PreservedSpecimen,37cfc7ee-e8c0-44e2-b32e-f7b41721a428,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,Isotype,"C. H. Müller & L. C. Hinckley",,,,1950,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,en,,"2019-09-05 17:05:30",37cfc7ee-e8c0-44e2-b32e-f7b41721a428,181,urn:uuid:8bd1093c-3dc3-40be-aae3-01418b27ebbc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4444383
4472014,F,Botany,,PreservedSpecimen,769ee5d5-ae80-42ef-b480-a9a128d38615,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"B. Barlow",,,,1911,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Texas,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2015-03-06 23:03:15",769ee5d5-ae80-42ef-b480-a9a128d38615,181,urn:uuid:19770172-2230-459e-a463-d070cabd392f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4472014
6435974,NY,,,PreservedSpecimen,1dfbb433-b25b-49f0-8367-3b91bd62452a,248696,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Unspecified Determiner",,,,,,isotype,"C. H. Müller",,,,1950,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceProtocol, georeferenceSources",,,,,,,,,,,,sheet,"United States of America",Texas,"Presidio Co.",,,,1,,,,,,,,,,,,,,,,,,,en,,"2021-01-06 21:45:38",1dfbb433-b25b-49f0-8367-3b91bd62452a,40,urn:uuid:e9e7a921-1ce7-4e64-9f4a-827e0e40e03c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6435974
6462070,NY,,,PreservedSpecimen,1b6fc37e-7220-41cf-adbc-62a289027b75,24061,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,,,,,,,,"A. M. Powell",,,,1974,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,sheet,"United States of America",Texas,"Presidio Co.",,,,1,,,,,,,,,,,,,,,,,,,en,,"2021-01-06 21:45:38",1b6fc37e-7220-41cf-adbc-62a289027b75,40,urn:uuid:747dfcd8-a8f3-4aaa-a101-409ef3899a40,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6462070
