Species,Longitude,Latitude
Quercus oglethorpensis,-89.202144,32.135221
Quercus oglethorpensis,-89.364779,32.288137
Quercus oglethorpensis,-89.456541,32.330544
Quercus oglethorpensis,-89.356262,32.343013
Quercus oglethorpensis,-89.563029,32.37774
Quercus oglethorpensis,-89.549031,32.389415
Quercus oglethorpensis,-82.782074,34.015676
Quercus oglethorpensis,-82.136806,34.084327
Quercus oglethorpensis,-82.048479,34.158563
Quercus oglethorpensis Duncan,-88.2,32.47
Quercus oglethorpensis Duncan,-82.97611,33.865
Quercus oglethorpensis Duncan,-83.11194,33.86972
Quercus oglethorpensis W. H. Duncan,-84,32
Quercus oglethorpensis W. H. Duncan,-84,32
Quercus oglethorpensis W. H. Duncan,-84,32
Quercus oglethorpensis W.H. Duncan,-87.523056,32.177222
Quercus oglethorpensis W.H. Duncan,-87.543611,32.231389
Quercus oglethorpensis W.H.Duncan,-83.02719,33.82454
Quercus oglethorpensis W.H.Duncan,-83.08994,33.84758
Quercus oglethorpensis W.H.Duncan,-83.109585,33.870553
