id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3471702,MWI,,,PreservedSpecimen,007092b9-7b19-407f-bd8b-9eaac132d41c,MWI00043807,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,"Thomas L. Green",1997,,,,,,"Green, Thomas L.",,,,1997,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality",,,,,,,,0,,,,,USA,Iowa,"Des Moines","Southeast Burlington",,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",43807,130,urn:uuid:007092b9-7b19-407f-bd8b-9eaac132d41c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3471702
4404729,F,Botany,,PreservedSpecimen,d9801793-8494-4159-bdd1-cef9e4687e38,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,"W. H. Duncan",,,,1942,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Georgia,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2015-03-06 19:06:28",d9801793-8494-4159-bdd1-cef9e4687e38,181,urn:uuid:9a62a4fa-8cfd-4fc8-88be-3ae977a5bc9c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4404729
4444653,F,Botany,,PreservedSpecimen,255424c4-8c75-4b70-a80a-8b580ef9822b,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,Isotype,"W. H. Duncan",,,,1940,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Georgia,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2019-09-05 16:15:52",255424c4-8c75-4b70-a80a-8b580ef9822b,181,urn:uuid:19dded02-29f5-491a-89a1-f6148665bc0e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4444653
4472038,F,Botany,,PreservedSpecimen,201657da-0296-49a8-85bc-5be9bc6af310,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,"W. H. Duncan",,,,1942,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, georeferenceProtocol",,,,,,,,,,,,,U.S.A.,Georgia,,,,,1,,,,,,,,,,,,,,,,,,,en,,"2015-03-06 23:03:16",201657da-0296-49a8-85bc-5be9bc6af310,181,urn:uuid:5dc4ebca-5d28-44df-8bd9-5d6f0be043e8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4472038
5674814,LSU,"Vascular Plants",,PreservedSpecimen,3cdb340c-27a5-11e3-8d47-005056be0003,LSU00028204,75880,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Nelwyn M. Gilmore","Latimore M. Smith; Lowell E. Urbatsch",,,1989,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates, habitat",,,,,,,,,,,,,"United States",Louisiana,Caldwell,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2008-11-03 02:55:49",29997,210,urn:uuid:a03ea928-25fa-418c-8f32-4bae93069b70,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5674814
5674815,LSU,"Vascular Plants",,PreservedSpecimen,3cdb36fa-27a5-11e3-8d47-005056be0003,LSU00028205,75865,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Nelwyn M. Gilmore",,,,1985,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates, habitat",,,,,,,,,,,,,"United States",Louisiana,Caldwell,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2001-05-03 12:00:00",29998,210,urn:uuid:01b5e041-a251-45de-9769-6e09fb5932e8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5674815
5674816,LSU,"Vascular Plants",,PreservedSpecimen,3cdb39de-27a5-11e3-8d47-005056be0003,LSU00028206,86470,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Lowell E. Urbatsch","Nelwyn M. Gilmore; Latimore M. Smith",,,1989,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates, habitat",,,,,,,,,,,,,"United States",Louisiana,Caldwell,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2001-05-03 12:00:00",29999,210,urn:uuid:1896df29-aed3-45bc-9600-f2b01f75473f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5674816
5674817,LSU,"Vascular Plants",,PreservedSpecimen,3cdb3cae-27a5-11e3-8d47-005056be0003,LSU00028207,86471,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Lowell E. Urbatsch","Nelwyn M. Gilmore; Latimore M. Smith",,,1989,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates, habitat",,,,,,,,,,,,,"United States",Louisiana,Caldwell,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2001-05-03 12:00:00",30000,210,urn:uuid:e3f71eb2-57c1-4fd7-85f2-0cca0bf8ffca,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5674817
5725945,LSU,"Vascular Plants",,PreservedSpecimen,445ba608-27a5-11e3-8d47-005056be0003,LSU00079458,42314,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Wilbur H. Duncan",,,,1977,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Georgia,Clarke,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2005-07-11 12:00:00",84116,210,urn:uuid:42181d3f-7295-42c3-a7ce-187e6e14251c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5725945
5725946,LSU,"Vascular Plants",,PreservedSpecimen,445baa4a-27a5-11e3-8d47-005056be0003,LSU00079457,53062,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"Oglethorpe oak",,,"Wilbur H. Duncan",,,,1946,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,,"United States","South Carolina",Greenwood,,,,1,,,,,,,,,,,,,,,,,,,,Modifier,"2005-07-11 12:00:00",84117,210,urn:uuid:3b0e58f0-878f-4ede-ae4e-49a0f528e4e5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5725946
