id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
316012,UCR,,,PreservedSpecimen,UCR-BPS-59608,,UCR-59608,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"Fred M. Roberts",2019,,,,,,"Don Pendleton",,,,1989,,,,,,"Vicinity of small SE-draining stream channel, W of (and uphill from) the barn.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1461820,9,urn:uuid:992425f9-5748-4719-b519-abcb57f002cc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=316012
402397,UCR,,,PreservedSpecimen,UCR-BPS-130201,,UCR-130201,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"M.B. Dunkle",,,,1939,,,,,,"On dry ridge.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1544132,9,urn:uuid:01b59766-91b3-4b4a-ba8e-5f4e96041b13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=402397
402426,UCR,,,PreservedSpecimen,UCR-BPS-130176,,UCR-130176,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"M.B. Dunkle",,,,1939,,,,,,"Common on canyon bank near head of canyon.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1544161,9,urn:uuid:d202f04f-a59d-4e87-aecf-6bb6b1086385,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=402426
420503,UCR,,,PreservedSpecimen,UCR-BPS-143297,,UCR-143297,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"F.R. Fosberg",,,,1931,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1562907,9,urn:uuid:3cb34826-2a55-491e-951f-f6a28f0ecaee,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=420503
420504,UCR,,,PreservedSpecimen,UCR-BPS-143298,,UCR-143298,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"F.R. Fosberg",,,,1931,,,,,,"Near base of south wall.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1562908,9,urn:uuid:6e27e261-25f4-4bd2-b7f1-907115b56f75,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=420504
420505,UCR,,,PreservedSpecimen,UCR-BPS-143296,,UCR-143296,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"F.R. Fosberg",,,,1931,,,,,,"E. wall of deep ravine near head, alt. 280 m.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1562909,9,urn:uuid:c5758458-161f-49fc-bca4-87a3bd4ac813,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=420505
421207,UCR,,,PreservedSpecimen,UCR-BPS-143410,,UCR-143410,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"I.W. Clokey",,,,1930,,,,,,"1-1.5 m high, alt. 100 m.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563606,9,urn:uuid:7a34185e-5bf3-42bf-afeb-9179da992cf2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421207
421208,UCR,,,PreservedSpecimen,UCR-BPS-143411,,UCR-143411,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"I.W. Clokey",,,,1930,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563607,9,urn:uuid:0c74866f-b705-4637-918f-4aa025a868d9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421208
421209,UCR,,,PreservedSpecimen,UCR-BPS-143412,,UCR-143412,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"I.W. Clokey",,,,1930,,,,,,"Height 2 m, on rocky slope.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563608,9,urn:uuid:13ecc5fa-50f2-43ad-8c39-8458a7da949a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421209
421211,UCR,,,PreservedSpecimen,UCR-BPS-143413,,UCR-143413,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"I.W. Clokey",,,,1930,,,,,,"Height 1-2 m, alt. 75 m.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563610,9,urn:uuid:2bf262bf-223e-43a9-a0df-b8288e5d2115,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421211
421404,UCR,,,PreservedSpecimen,UCR-BPS-143405,,UCR-143405,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"Reid Moran",,,,1941,,,,,,"By creek.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563803,9,urn:uuid:29318338-e2d7-4789-ab97-ae6602486ab9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421404
421474,UCR,,,PreservedSpecimen,UCR-BPS-142716,,UCR-142716,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"J.M. Tucker",2006,,,,,,"M.B. Dunkle",,,,1928,,,,,,"Tree 8-10 ft.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1563873,9,urn:uuid:21d73625-f3d8-4adb-aee6-d078d0d208b6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=421474
443185,UCR,,,PreservedSpecimen,UCR-BPS-168352,,UCR-168352,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"A.C. Sanders",2008,,,,,,"I.W. Clokey",,,,1930,,,,,,"12 ft. [high]",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1588235,9,urn:uuid:b9007976-ebec-4827-a5e2-1f3859cfd490,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=443185
443187,UCR,,,PreservedSpecimen,UCR-BPS-168351,,UCR-168351,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"K.C. Nixon",1980,,,,,,"Reid Moran",,,,1941,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1588237,9,urn:uuid:2910ce58-ea96-49cd-a443-6b27c7755f41,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=443187
443309,UCR,,,PreservedSpecimen,UCR-BPS-168369,,UCR-168369,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus pacifica",97599,"Nixon & C.H. Mull.",Quercus,,pacifica,,,Species,"A.C. Sanders",2008,,,,,,"I.W. Clokey",,,,1930,,,,,,"Grassy hill top.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1588371,9,urn:uuid:f8eb4e1d-d44a-4ffb-abfc-ba73ff318496,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=443309
