id,decimalLongitude,decimalLatitude
SEINET,-119.7663,34.047
GBIF,-121.763611,38.529444
GBIF,-121.7475,38.537222
GBIF,-120.991667,35.461667
GBIF,-120.177965,34.118901
GBIF,-120.173999,33.904504
GBIF,-120.173982,33.81816
GBIF,-120.167229,33.941535
GBIF,-120.16473,33.806313
GBIF,-120.146778,33.828159
GBIF,-120.145217,33.837741
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1415,33.953
GBIF,-120.1369,34.10464
GBIF,-120.122942,33.840982
GBIF,-120.1209,33.9109
GBIF,-120.12084,33.899492
GBIF,-120.118614,33.932705
GBIF,-120.118276,33.829495
GBIF,-120.1165,33.9445
GBIF,-120.1165,33.9445
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.111,33.947
GBIF,-120.1093,33.9507
GBIF,-120.104,33.957
GBIF,-120.104,33.957
GBIF,-120.104,33.957
GBIF,-120.097096,33.847916
GBIF,-120.097,34.0139
GBIF,-120.0923,34.0098
GBIF,-120.0896,33.9773
GBIF,-120.0818,33.9795
GBIF,-120.078889,33.978611
GBIF,-120.078889,33.978611
GBIF,-120.0788,33.9788
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.078,33.979
GBIF,-120.07776,33.809615
GBIF,-120.0775,33.98361
GBIF,-120.07425,34.041472
GBIF,-120.07417,33.9825
GBIF,-120.0735,33.982
GBIF,-120.0735,33.982
GBIF,-120.072,33.981
GBIF,-120.072,33.981
GBIF,-120.071,33.976
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.065,33.99
GBIF,-120.063,33.996
GBIF,-120.063,33.996
GBIF,-120.0625,33.982
GBIF,-120.056242,33.943946
GBIF,-120.054841,33.809116
GBIF,-120.0513,34.007
GBIF,-120.050278,33.985278
GBIF,-120.05,33.97
GBIF,-120.037002,33.896039
GBIF,-120.026913,33.965277
GBIF,-120.004127,33.805534
GBIF,-119.997986,34.109171
GBIF,-119.964985,34.011449
GBIF,-119.961297,33.938974
GBIF,-119.950491,34.073707
GBIF,-119.922133,34.163016
GBIF,-119.893,34.06
GBIF,-119.873675,34.051722
GBIF,-119.8522,34.0437
GBIF,-119.85219,34.04375
GBIF,-119.8517,34.046
GBIF,-119.8517,34.046
GBIF,-119.85101,34.04301
GBIF,-119.8503,34.0434
GBIF,-119.849,34.065
GBIF,-119.845242,34.41285
GBIF,-119.845242,34.41285
GBIF,-119.845242,34.41285
GBIF,-119.8445,34.0407
GBIF,-119.8445,34.0407
GBIF,-119.8445,34.0407
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.8442,34.0548
GBIF,-119.84301,34.04102
GBIF,-119.8306,34.0579
GBIF,-119.8219,33.9939
GBIF,-119.8194,34.0518
GBIF,-119.8186,34.05
GBIF,-119.8179758,34.05185524
GBIF,-119.817,34.036
GBIF,-119.8157,34.0495
GBIF,-119.81528,34.05167
GBIF,-119.81306,34.01611
GBIF,-119.813,34.0067
GBIF,-119.81015,34.0082
GBIF,-119.8095,34.0081
GBIF,-119.804,34.0165
GBIF,-119.803,34.016
GBIF,-119.8016,34.0153
GBIF,-119.8016,34.0153
GBIF,-119.800155,34.01160651
GBIF,-119.799268,34.113509
GBIF,-119.7987,34.0154
GBIF,-119.7975,34.0154
GBIF,-119.796675,34.01595641
GBIF,-119.794,34.0143
GBIF,-119.7935,34.029
GBIF,-119.7911,34.0145
GBIF,-119.790815,34.02942607
GBIF,-119.7906,34.0142
GBIF,-119.79016,34.01425
GBIF,-119.79,34.01
GBIF,-119.789883,34.150772
GBIF,-119.789,34.0145
GBIF,-119.789,34.0145
GBIF,-119.789,34.0145
GBIF,-119.788856,34.184671
GBIF,-119.788,34.007
GBIF,-119.788,34.0095
GBIF,-119.7865,34.0554
GBIF,-119.7844,34.02923
GBIF,-119.7844,34.02923
GBIF,-119.7843,34.029
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
GBIF,-119.771088,34.016528
SEINET,-119.7663,34.047
GBIF,-119.7663,34.047
GBIF,-119.766,34.0535
GBIF,-119.755428,34.004772
GBIF,-119.755428,34.004772
GBIF,-119.75138,37.25027
GBIF,-119.75,34.005
GBIF,-119.746667,34.004444
