coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
942474,"J.J. Thornber",,s.d.,,"Quercus tomentella",0,,,,,,,,urn:uuid:d01a49da-cf3a-4cd7-a679-a75a346c7508,"2014-07-25 16:26:02"
4078777,unknown,,unknown,,"Quercus tomentella",1,,Quercus,tomentella,,,,bebdd499-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:a02f9bc2-8117-4ef3-ab7f-ebb3c717c569,"2014-02-21 18:08:59"
4078776,unknown,,unknown,,"Quercus tomentella",1,,Quercus,tomentella,,,,bebdd2f1-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:5380106a-ae31-47b9-ae50-819415d8c9ac,"2014-02-21 18:08:59"
4078775,unknown,,unknown,,"Quercus tomentella",1,,Quercus,tomentella,,,,bebdd14a-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:2662f698-f180-4795-9554-81eeac24c77d,"2014-02-21 18:08:59"
4078774,unknown,,unknown,,"Quercus tomentella",1,,Quercus,tomentella,,,,bebdcfaf-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:a9ac7e13-0832-4cc6-becc-b070c8046725,"2014-02-21 18:08:59"
4078773,unknown,,unknown,,"Quercus tomentella",1,,Quercus,tomentella,,,,bebdcdfb-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f25dd92b-73dd-432d-857a-8cc8461acf8e,"2014-02-21 18:08:59"
23060746,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:bcbaa570-4082-4269-af0a-6bc5be5b4c71,"2020-02-13 13:52:16"
23060882,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:4fa0392e-6030-4c41-95b2-63d005c608a3,"2020-02-13 13:52:16"
23060795,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:c6a64339-245b-4bc9-9836-ce80ded8b08a,"2020-02-13 13:52:16"
23060794,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:ba2d7a51-8c6d-417f-8acc-419a08086329,"2020-02-13 13:52:16"
23060793,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:d4145200-326b-42a5-a724-2fa5d94b84d3,"2020-02-13 13:52:16"
23060781,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:ef5ce4a5-69b0-4aa9-9f90-8ec04feede6d,"2020-02-13 13:52:16"
23060780,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:64af16a0-8136-4bb1-b07a-948e7c1f6736,"2020-02-13 13:52:16"
23060779,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:5777f1eb-59e6-4269-b2d9-d8221e0e244b,"2020-02-13 13:52:16"
23060778,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:9f78808d-deb6-4500-bc5a-a64d0d00fdb7,"2020-02-13 13:52:16"
23060774,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:4c43fe6d-fd3d-4db8-b79c-9bdea50db0f2,"2020-02-13 13:52:16"
23060750,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:3d50d517-2f16-4c31-a169-ce07f347861e,"2020-02-13 13:52:16"
23060749,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:6986a7a5-d53d-472c-94a5-f0546e66d58e,"2020-02-13 13:52:16"
23060748,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:596077f5-342a-4659-a572-90feb9cf934d,"2020-02-13 13:52:16"
23060747,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:c2c1f98a-3dd9-4886-b2b3-4bae13287ca3,"2020-02-13 13:52:16"
23060745,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:b54fea84-13ad-4281-9afe-3a786a228741,"2020-02-13 13:52:16"
23060744,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:6c10a02c-6d9a-4884-a66f-b8fb203fa77b,"2020-02-13 13:52:16"
23060743,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:34335c99-e89a-4595-8d14-7316843f9f74,"2020-02-13 13:52:16"
23060742,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:af9b45b4-07b6-4b30-a99c-40451ec899ba,"2020-02-13 13:52:16"
23060741,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:4b7e662e-3fe0-4795-ba26-03e6ee8ae4b0,"2020-02-13 13:52:16"
23060740,"not specified",,1982-08,,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:8b2019f2-4a7a-4ae2-a5ab-45fee2130254,"2020-02-13 13:52:16"
23060740,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:d819c2cd-52d7-449c-9c3d-858e6d4e9bed,"2019-10-24 23:18:20"
23060739,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:474d4652-0664-41bb-89c4-9e81c85c129d,"2020-02-13 13:52:16"
23060738,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:aa30c959-5fbf-4d55-987f-befaf1d7bd66,"2020-02-13 13:52:16"
23060751,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:7b3e4c7c-23c7-456f-b661-fc93dab1eee9,"2020-02-13 13:52:16"
23060752,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:d92f21f9-f623-4e4d-bde0-3ef8c7438ad7,"2020-02-13 13:52:16"
23060753,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:5c2d9212-b566-494d-a6d8-0b87594d8243,"2020-02-13 13:52:16"
23060772,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:36845df8-8735-4e7c-be39-d6632d9c05a5,"2020-02-13 13:52:16"
23060770,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:cc44be93-316c-47cd-b1f6-d1a4522bb3a6,"2020-02-13 13:52:16"
23060769,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:77d00dbf-e984-4543-84a9-b06282da73b4,"2020-02-13 13:52:16"
23060763,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:4f4dec06-0eb6-434c-80a4-c097bd56f599,"2020-02-13 13:52:16"
23060762,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:885b0324-88f5-4fb9-80ee-66315d24a33e,"2020-02-13 13:52:16"
23060761,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:f2b65189-3a00-45cf-b73d-c093b9ddc443,"2020-02-13 13:52:16"
23060760,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:271d8156-8903-4bcb-8f41-1d9018c60e45,"2020-02-13 13:52:16"
23060759,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:4000c092-21b1-4ace-9041-7976bf1a6a7e,"2020-02-13 13:52:16"
23060758,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:33592c76-b8f0-4502-ab81-c862d037a83d,"2020-02-13 13:52:16"
23060756,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:6d7d9201-eba0-41bd-840a-38971c052de7,"2020-02-13 13:52:16"
23060755,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:2da624dc-39a3-400e-9b6c-feb1bdcfd050,"2020-02-13 13:52:16"
23060754,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:a8ecda67-656e-4fe2-a6c6-3d3dad328d46,"2020-02-13 13:52:16"
23017686,"not specified",,"not specified",,"Quercus tomentella Engelmann",0,Engelmann,,,,,,,urn:uuid:154ed39c-7ce9-4520-b8b4-e09f5a19b223,"2020-02-13 13:52:16"
