id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
300904,UCR,,,PreservedSpecimen,UCR-BPS-15108,,UCR-15108,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"Robin Meyers",,,,1976,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446864,9,urn:uuid:4546691f-5550-4430-952b-1dc92866eab0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300904
300905,UCR,,,PreservedSpecimen,UCR-BPS-26814,,UCR-26814,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"John LaSalle",,,,1982,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1446865,9,urn:uuid:82181935-2da8-4ec8-b621-19dc668b4368,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=300905
331031,UCR,,,PreservedSpecimen,UCR-BPS-86532,,UCR-86532,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"T.S. Ross","Elizabeth A. Kellogg",,,1992,,,,,,"Trees with spreading crowns to c. 8m tall, often multi-trunked. DBH to as much as 50cm, estimated. Mature foliage.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1476749,9,urn:uuid:ef100978-ef06-4399-aae8-69e198ff27eb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=331031
331032,UCR,,,PreservedSpecimen,UCR-BPS-86528,,UCR-86528,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"T.S. Ross","E. Kellogg",,,1992,,,,,,"trees with spreading crowns to c. 8m tall, often multi-trunked. DBH to as much as 50 cm, estimated. (Young foliage and flowers)",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1476750,9,urn:uuid:c3be765a-fdec-4538-b3c3-318c70c270ac,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=331032
342325,UCR,,,PreservedSpecimen,UCR-BPS-108598,,UCR-108598,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"F.C. Boutin",,,,1967,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1487895,9,urn:uuid:60485809-26f3-407c-8994-5033b7b96689,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=342325
342327,UCR,,,PreservedSpecimen,UCR-BPS-107651,,UCR-107651,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"E.R. Blakley",,,,1962,,,,,,"Tree 40 ft. tall; trunk 30 in. in diamter; grove with 17 trunks; Many of these probably originated as stump sprouts from a common parent.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1487897,9,urn:uuid:e491f7b2-4908-4292-a2be-f8cbcf3aac1f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=342327
342328,UCR,,,PreservedSpecimen,UCR-BPS-107567,,UCR-107567,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,"A.C. Sanders",2001,,,,,,"M.R. Benedict",,,,1971,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, georeferenceSources",,,,,,,,,,,,,"United States",California,"Los Angeles",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1487898,9,urn:uuid:244ee99c-da6a-4550-9961-0bce02e1cb4b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=342328
364122,UCR,,,PreservedSpecimen,UCR-BPS-124118,,UCR-124118,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"Don Ramsey",,,,1968,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude",,,,,,,,,,,,,Mexico,"Baja California (norte)",Ensenada,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1509418,9,urn:uuid:4d4407a7-14e2-4569-8c3d-cbcc23c13c1d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=364122
393441,UCR,,,PreservedSpecimen,UCR-BPS-98550,,UCR-98550,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"C.F. Harbison",,,,1957,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude",,,,,,,,,,,,,Mexico,"Baja California (norte)",Ensenada,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1535194,9,urn:uuid:b78b2145-5122-4d3b-a7ed-e1fc3f209b11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=393441
393442,UCR,,,PreservedSpecimen,UCR-BPS-98548,,UCR-98548,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus tomentella",46971,Jord.,Quercus,,tomentella,,,Species,,,,,,,,"Reid Moran",,,,1957,,,,,,XXX.,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, georeferenceSources, habitat",,,,,,,,,,,,,Mexico,"Baja California (norte)",Ensenada,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1535195,9,urn:uuid:7638ec68-d329-41ee-b49d-7959d824e4d8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=393442
