verbatimScientificName,decimalLongitude,decimalLatitude
Quercus (Quercus) alamarensis,-100.05,24.6
Quercus (Quercus) canbyi,-99.458333,18.991667
Quercus (Quercus) canbyi,-96.975833,19.299722
Quercus (Quercus) canbyi,-98.971389,22.743328
Quercus (Quercus) canbyi,-99.46,23.17694
Quercus (Quercus) canbyi,-99.46,23.17694
Quercus (Quercus) canbyi,-99.41994,23.23462
Quercus (Quercus) canbyi,-98.1269,23.23865
Quercus (Quercus) canbyi,-98.597778,23.257778
Quercus (Quercus) canbyi,-98.329444,23.281667
Quercus (Quercus) canbyi,-98.329444,23.281667
Quercus (Quercus) canbyi,-98.329444,23.281667
Quercus (Quercus) canbyi,-99.469286,23.382761
Quercus (Quercus) canbyi,-99.469286,23.382761
Quercus (Quercus) canbyi,-99.366667,23.4
Quercus (Quercus) canbyi,-98.383056,23.408889
Quercus (Quercus) canbyi,-99.55806,23.45194
Quercus (Quercus) canbyi,-101.2301687,23.45609812
Quercus (Quercus) canbyi,-99.56889,23.46833
Quercus (Quercus) canbyi,-100.4736,23.500206
Quercus (Quercus) canbyi,-99.2085,23.57998
Quercus (Quercus) canbyi,-99.6,23.58
Quercus (Quercus) canbyi,-99.389167,23.680278
Quercus (Quercus) canbyi,-100.159167,23.693056
Quercus (Quercus) canbyi,-100.141944,23.7025
Quercus (Quercus) canbyi,-99.151667,23.736667
Quercus (Quercus) canbyi,-99.151667,23.736667
Quercus (Quercus) canbyi,-99.151667,23.736667
Quercus (Quercus) canbyi,-99.3068,23.77043
Quercus (Quercus) canbyi,-99.153056,23.817222
Quercus (Quercus) canbyi,-99.758333,23.925
Quercus (Quercus) canbyi,-99.766667,23.966667
Quercus (Quercus) canbyi,-99.771667,23.973333
Quercus (Quercus) canbyi,-99.715235,23.993182
Quercus (Quercus) canbyi,-99.715235,23.993182
Quercus (Quercus) canbyi,-99.796667,24.022778
Quercus (Quercus) canbyi,-99.94711,24.07261
Quercus (Quercus) canbyi,-99.925,24.108333
Quercus (Quercus) canbyi,-99.8625,24.205561
Quercus (Quercus) canbyi,-99.8625,24.205561
Quercus (Quercus) canbyi,-99.108889,24.350556
Quercus (Quercus) canbyi,-99.286111,24.384444
Quercus (Quercus) canbyi,-98.975,24.525
Quercus (Quercus) canbyi,-98.975,24.525
Quercus (Quercus) canbyi,-99.830263,24.535078
Quercus (Quercus) canbyi,-99.9319,24.53588
Quercus (Quercus) canbyi,-99.615261,24.559531
Quercus (Quercus) canbyi,-100.269211,24.572758
Quercus (Quercus) canbyi,-99.80397,24.582689
Quercus (Quercus) canbyi,-99.008333,24.641667
Quercus (Quercus) canbyi,-100.145278,24.641944
Quercus (Quercus) canbyi,-100.145278,24.641944
Quercus (Quercus) canbyi,-99.091667,24.691667
Quercus (Quercus) canbyi,-99.091667,24.691667
Quercus (Quercus) canbyi,-99.091667,24.691667
Quercus (Quercus) canbyi,-99.78056,24.71056
Quercus (Quercus) canbyi,-100.017494,24.715354
Quercus (Quercus) canbyi,-99.9,24.725
Quercus (Quercus) canbyi,-99.903333,24.725
Quercus (Quercus) canbyi,-99.908333,24.725
Quercus (Quercus) canbyi,-99.905556,24.728333
Quercus (Quercus) canbyi,-99.83083,24.73194
Quercus (Quercus) canbyi,-99.811944,24.741111
Quercus (Quercus) canbyi,-99.811111,24.744722
Quercus (Quercus) canbyi,-99.9401321,24.75140088
Quercus (Quercus) canbyi,-99.94077613,24.75456775
Quercus (Quercus) canbyi,-99.796733,24.756561
Quercus (Quercus) canbyi,-100.066667,24.816667
Quercus (Quercus) canbyi,-100.06,24.818056
Quercus (Quercus) canbyi,-100.075,24.825
Quercus (Quercus) canbyi,-99.568333,24.86
Quercus (Quercus) canbyi,-100.096753,24.862364
Quercus (Quercus) canbyi,-100.231667,24.868333
Quercus (Quercus) canbyi,-98.608333,24.891667
Quercus (Quercus) canbyi,-100.074931,24.916394
Quercus (Quercus) canbyi,-100.002778,25.0425
Quercus (Quercus) canbyi,-100.121399,25.044518
Quercus (Quercus) canbyi,-99.987222,25.096389
Quercus (Quercus) canbyi,-100.116667,25.183333
Quercus (Quercus) canbyi,-100.15,25.35
Quercus (Quercus) canbyi,-100.15,25.35
Quercus (Quercus) canbyi,-100.15,25.35
Quercus (Quercus) canbyi,-100.18,25.35
Quercus (Quercus) canbyi,-100.163889,25.358889
Quercus (Quercus) canbyi,-100.310556,25.368889
Quercus (Quercus) canbyi,-100.310556,25.368889
Quercus (Quercus) canbyi,-100.24,25.381944
Quercus (Quercus) canbyi,-100.258333,25.391667
Quercus (Quercus) canbyi,-100.166944,25.403611
Quercus (Quercus) canbyi,-100.166944,25.403611
Quercus (Quercus) canbyi,-100.158333,25.408333
Quercus (Quercus) canbyi,-100.42,25.418056
Quercus (Quercus) canbyi,-100.155,25.436667
Quercus (Quercus) canbyi,-100.225,25.581
Quercus (Quercus) canbyi,-100.339444,25.590833
Quercus (Quercus) canbyi,-100.322832,25.600777
Quercus (Quercus) canbyi,-100.3525,25.606389
Quercus (Quercus) canbyi,-100.632902,25.650571
Quercus (Quercus) canbyi,-100.632902,25.650571
Quercus (Quercus) canbyi,-100.6325,25.650833
Quercus (Quercus) canbyi,-100.6325,25.650833
Quercus (Quercus) canbyi,-100.268889,25.651389
Quercus (Quercus) canbyi,-100.632222,25.6575
Quercus (Quercus) canbyi,-100.308487,25.67145473
Quercus (Quercus) canbyi,-100.308487,25.67145473
Quercus (Quercus) canbyi,-100.372778,25.731389
