"","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","date_collected","identified_by","date_identified","identification_remarks","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type"
"1","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California",NA,"Santa Catalina Island (California)",33.38789,-118.41631,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"731809025","Knopf, E.C.",NA,NA,NA,NA,NA,NA,0,NA,1,"specimen"
"2","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California",NA,"South slope near rim of Arroyo Hediondo, 5.0 km southeast of Eréndira.",31.24167,-116.33333,1980-03-23,"GBIF","SD","SD","SD",NA,4760,"2424808379","Reid Moran","28153",1980-03-23,NA,NA,NA,NA,0,NA,1,"specimen"
"3","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Pike","between Troy and Brundidge,",31.78611,-85.90334,1912-11-06,"GBIF","UA","UA","UA","UNA",1777,"56641421","Roland M. Harper | R. M. Harper",NA,1912-11-06,"Robert Burckhalter",NA,NA,NA,0,NA,1,"specimen"
"4","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Los Angeles","Los Angeles County: Santa Anita. Alt. 600 feet.",34.147067,-118.057833,1936-08-29,"GBIF","DAV","DAV","DAV",NA,4338,"2421687195","A. E. Wieslander","684",1936-08-29,NA,NA,NA,NA,0,NA,1,"specimen"
"5","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California",NA,"North rim of canyon, Arroyo Hediondo.",31.25833,-116.30833,1980-12-28,"GBIF","SD","SD","SD",NA,4760,"2424807438","Reid Moran","29469",1980-12-28,NA,NA,NA,NA,0,NA,1,"specimen"
"6","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California",NA,"3 miles northeast of Erendira, on north side of road from San Vicente to Erendira and San Isidro.",31.2943,-116.3341,1971-08-14,"GBIF","RSABG","RSABG","RSABG","RSA",2529,"2629924515","J.  M. Tucker",NA,1971-08-14,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"7","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Arkansas","Hempstead","Grassy Lake, 7 mi N of Fulton",33.68678,-93.86993,1966-04-08,"GBIF","KSTC","KSTC","KSTC","Plants",4529,"1055075750","Ahshapanek, Don","851",1966-04-08,"Ahshapanek, Don",NA,NA,NA,0,NA,1,"specimen"
"8","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Autauga","3 mi NE of Jones. ca. 800 ft NE of County Road 7 T19N R12E S22 SW1/4 of SE1/4",32.60861,-86.85361,1998-06-23,"GBIF","UA","UA","UA","UNA",1777,"56642706","Alfred Schotz",NA,1998-06-23,NA,NA,NA,NA,0,NA,1,"specimen"
"9","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California",NA,"El Mirador, 4 miles south of Jatay.",31.983333,-116.833333,1970-02-08,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430268859","Reid V. Moran","16732",1970-02-08,NA,NA,NA,NA,0,NA,1,"specimen"
"10","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California",NA,"1.5 miles west of Rancho El Ciprés.",30.36352,-115.65967,1963-06-02,"GBIF","SD","SD","SD",NA,4760,"2424807535","Reid Moran","11028",1963-06-02,NA,NA,NA,NA,0,NA,1,"specimen"
"11","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Los Angeles","Near 1400 Rancho Rd., Arcadia, Calif., near foothills of San Gabriel Mts.",34.155188,-118.040192,1959-03-12,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270273610","Lloyd, Robert","52",1959-03-12,NA,NA,NA,NA,0,NA,1,"specimen"
"12","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","east slope of El Cajon Mountain, Oak Ridge Ranch",32.91667,-116.80833,1969-04-29,"GBIF","SD","SD","SD",NA,4760,"2424940082","Reid Moran; Jack Reveal","15864",1969-04-29,NA,NA,NA,NA,0,NA,1,"specimen"
"13","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",NA,33.262144,-116.776147,2009-03-12,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,NA,NA,"304",2009-03-12,NA,NA,NA,0,0,NA,1,"plot"
"14","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Santa Ysabel.",33.10921,-116.67308,1920-11-05,"GBIF","DAV","DAV","DAV",NA,4338,"2421687539","J.A. Ream","13551",1920-11-05,NA,NA,NA,NA,0,NA,1,"specimen"
"15","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","dam site on San Vincente Creek",32.91077,-116.9243,1935-11-14,"GBIF","SD","SD","SD",NA,4760,"2424938577","Frank F. Gander","302-2",1935-11-14,"Frank Gander",NA,NA,NA,0,NA,1,"specimen"
"16","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Santa Ysabel, crest of grade road to Warner's farm",33.16248,-116.67867,1935-11-14,"GBIF","SD","SD","SD",NA,4760,"2424940002","Frank F. Gander","298-3",1935-11-14,"Frank Gander",NA,NA,1,0,NA,1,"specimen"
"17","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","San Clemente Island. West of Thirst.",32.8835,-118.457578,1967-01-29,"GBIF","SDSU","SDSU","SDSU",NA,4762,"2382627521","Beauchamp, R.M.","163",1967-01-29,NA,NA,NA,NA,0,NA,1,"specimen"
