"","associatedsequences","barcodevalue","basisofrecord","bed","canonicalname","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","coordinateuncertainty","country","countrycode","county","datasetid","datecollected","datemodified","dqs","earliestageorloweststage","earliesteonorlowesteonothem","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","genus","geologicalcontextid","geopoint.lon","geopoint.lat","group","hasImage","hasMedia","highertaxon","highestbiostratigraphiczone","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latesteonorhighesteonothem","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","query","recordnumber","recordset","scientificname","sort","specificepithet","startdayofyear","stateprovince","taxonid","taxonomicstatus","taxonrank","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody"
"1",NA,NA,"preservedspecimen",NA,"quercus","0056492mor","magnoliopsida","brahms_57093","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj; stoynoff, n",NA,"north america",NA,"united states","usa","montgomery","7ddf754f-d193-4cc9-b351-99906754a03b","1991-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"df0de9c0adb0f1f6ee8883ed9531dba494150e94",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bddf6e49-1836-4e61-99ae-ac684d0010c2","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"00979350-537a-4241-a2ec-4bf1abdd3d4e",NA,NA,NA,NA
"2",NA,NA,"preservedspecimen",NA,"quercus","0056504mor","magnoliopsida","brahms_57134","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1990-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"a324b6fdf552c589334719bad2a98a337aa58eb5",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4dae13e1-f85f-4c19-b895-887046705d4a","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"056eef26-a101-4e64-a60e-4c887de48586",NA,NA,NA,NA
"3",NA,NA,"preservedspecimen",NA,"quercus","ncu00058528","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"palmer, e. [ernest]",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1925-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"0f9461f65d162e3a5a2a51357a2bb069eb52c3ca",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d8043c60-d53a-4a00-ae69-cf4f77904765","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"arkansas","2877951","accepted","genus",NA,"06d43fd7-fe41-4276-be0c-56fa74c6257e",NA,NA,NA,NA
"4",NA,NA,"preservedspecimen",NA,"quercus","0056508mor","magnoliopsida","brahms_57379","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj; ware, gh",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1978-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"fe457b6924a042513bcaf0849d6245a3918054e2",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"541ca11c-08ec-490b-8070-e4e35263101d","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"0987b1bb-1aff-4fef-abad-ac80e5247388",NA,NA,NA,NA
"5",NA,NA,"preservedspecimen",NA,"quercus","0056495mor","magnoliopsida","brahms_57101","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj; stoynoff, n",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1989-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"7ffbc111cacaef6aeed050c875450d8c04f6226e",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d5f1cf47-3b7c-4288-a74a-e6a614e0f60a","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"09f9bd95-fafa-411e-8758-641e1c0a46fb",NA,NA,NA,NA
"6",NA,NA,"preservedspecimen",NA,"quercus",NA,"magnoliopsida",NA,"b01784c6-c5d7-11e4-b6af-00163e00498d",NA,"b.n. mcknight",NA,"north america",NA,"united states","usa","du page","7ddf754f-d193-4cc9-b351-99906754a03b","1984-10-17T00:00:00+00:00","2018-08-24T10:38:56.047928+00:00",0.188405797101449,NA,NA,NA,NA,NA,"e09501624501c9225ec9b7cd64ff58cf11dbd700","1984-10-17","fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"ills",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"the morton arboretum, c-80 cultivated from material obtained from the arnold arboretum.",NA,NA,NA,NA,NA,NA,NA,"11baf136-60d3-48f8-adc2-076153175eaf","fagales","tracheophyta",NA,"4189","f0174bc9-0cca-450e-a941-655d80040139","quercus acerifolia",NA,"acerifolia",291,"illinois","2877951","accepted","genus",NA,"0ab16748-d1b1-4d90-9503-6a7609f87e40",NA,NA,NA,NA
"7",NA,NA,"preservedspecimen",NA,"quercus","0056500mor","magnoliopsida","brahms_57129","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"palmer, e",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1924-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"03b53473c34702d266b481abafbbb12013d08ee1",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21017c1e-c63f-40e8-a441-ebe99ae31294","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",221,"arkansas","2877951","accepted","genus",NA,"1798693d-5148-4394-9fef-ba6563918acc",NA,NA,NA,NA
"8",NA,NA,"preservedspecimen",NA,"quercus","274130","magnoliopsida","kanu",NA,NA,"delzie demaree",NA,"north america",5898,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1958-10-18T00:00:00+00:00","2020-07-24T20:35:10.931400+00:00",0.27536231884058,NA,NA,NA,NA,NA,"ea91ab1f86a2cae4aeade44911ecd48378de24bd","1958-10-18","fagaceae","40740",NA,"quercus",NA,-93.644972,35.167283,NA,FALSE,FALSE,NA,NA,NA,NA,"ku","http://grbio.org/cool/iakn-125z",NA,"plantae",NA,NA,NA,NA,NA,NA,"ozark national forest, magazine mountain, magazine",NA,NA,NA,NA,NA,NA,NA,"0d21521e-ba8b-11e3-8cfe-90b11c41863e","fagales","tracheophyta",NA,NA,"d7b285d4-2643-45ee-9302-b0c3d51dda5c","quercus acerifolia",NA,"acerifolia",291,"arkansas","2877951","accepted","genus",NA,"18d75d1b-dea3-4ff8-a5f7-55fef1784d48",NA,NA,NA,NA
"9",NA,NA,"preservedspecimen",NA,"quercus","ncu00058526","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"demaree, delzie",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1955-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"f59787aa944d1cf5fc4e5d06184a51fd71f7c677",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b03bdc69-f214-408f-83a6-bc42242e2952","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"arkansas","2877951","accepted","genus",NA,"1b2bc814-5052-4bba-bf2b-1f210b8eb114",NA,NA,NA,NA
"10",NA,NA,"preservedspecimen",NA,"quercus","0056506mor","magnoliopsida","brahms_57376","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"tucker, g",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1971-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"27283ec3712d478cb4887c23d88c41b8e2f284c3",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1e8b497-8570-4234-8d61-1efde76e56e5","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"1d9be092-a219-4617-a9fb-69019cdb96ed",NA,NA,NA,NA
